"","female","male"
"borehole",0.0462962962962963,0.106060606060606
"none",0.25,0.21969696969697
"other",0.0555555555555556,0.0303030303030303
"protected_rainwater_tank",0,0.00757575757575758
"protected_spring",0,0.0151515151515152
"protected_spring unprotected_well",0.00925925925925926,0
"protected_well",0.0277777777777778,0.0681818181818182
"protected_well water_truck",0,0.00757575757575758
"surface_water",0.388888888888889,0.333333333333333
"surface_water other",0.00925925925925926,0
"surface_water water_truck",0,0.00757575757575758
"unprotected_rainwater_tank",0.00925925925925926,0.00757575757575758
"unprotected_spring",0.0185185185185185,0.0454545454545455
"unprotected_spring surface_water",0,0.00757575757575758
"unprotected_well",0.148148148148148,0.113636363636364
"unprotected_well surface_water",0.00925925925925926,0.00757575757575758
"unprotected_well water_truck",0.0277777777777778,0.00757575757575758
"water_truck",0,0.0151515151515152
