"","female","male"
"",0.157407407407407,0.196969696969697
"Alero-A",0,0.0151515151515152
"Alero a",0.00925925925925926,0
"Alero A",0.0185185185185185,0.0303030303030303
"Alro A",0,0.0227272727272727
"Chopeluo",0.00925925925925926,0.00757575757575758
"Chopelwo",0.00925925925925926,0.0227272727272727
"Chopelwor",0.0185185185185185,0.0151515151515152
"Chopewor ",0.0185185185185185,0
"Dyang",0.00925925925925926,0.0378787878787879
"Dyangi",0.0277777777777778,0
"Dyangi ",0,0.00757575757575758
"Jeeja 2",0,0.00757575757575758
"Jeeja II",0.0185185185185185,0.00757575757575758
"Jeja",0.00925925925925926,0.0151515151515152
"Jeja-2",0.0185185185185185,0.00757575757575758
"Jejja 2",0,0.00757575757575758
"Kaduku",0,0.0227272727272727
"Kaduku ",0,0.0151515151515152
"Kaduku 1",0.0462962962962963,0.0151515151515152
"Kakoge",0.00925925925925926,0.0151515151515152
"kakooge",0,0.00757575757575758
"Kakooge",0.0277777777777778,0.0227272727272727
"Kakooge village",0.00925925925925926,0.00757575757575758
"Kapundo",0.0462962962962963,0.0454545454545455
"Kapundu",0.00925925925925926,0
"Karagalia",0,0.0151515151515152
"Karagalia ",0.00925925925925926,0
"Karagalya",0.0185185185185185,0.00757575757575758
"Karaglya",0,0.00757575757575758
"Karaglya ",0.00925925925925926,0.00757575757575758
"Kariagalya",0,0.00757575757575758
"Katamarwa",0.0277777777777778,0.0227272727272727
"Kikong village",0.00925925925925926,0
"Kikonge",0.0185185185185185,0.0227272727272727
"Kiluli",0.0185185185185185,0
"Kirongoro",0.00925925925925926,0
"Kiruli",0,0.00757575757575758
"Kiruli ",0,0.0151515151515152
"Kiruuli",0.00925925925925926,0
"Kisoro soro",0.00925925925925926,0
"Kisororo",0,0.00757575757575758
"Kisorosoro",0.037037037037037,0.0227272727272727
"Kisweka",0.037037037037037,0.053030303030303
"Kwenda 2",0.0185185185185185,0.00757575757575758
"Kwenda2",0.0185185185185185,0.00757575757575758
"Kyakibanga",0,0.00757575757575758
"Nanda",0.00925925925925926,0.00757575757575758
"Nanda a",0.00925925925925926,0
"Nanda A",0,0.0227272727272727
"Nginga 2",0.00925925925925926,0
"Nyakibete 2",0.00925925925925926,0.0151515151515152
"Nyakibete II",0.00925925925925926,0.00757575757575758
"Nyama 2",0.00925925925925926,0
"Nyamuntende",0.0462962962962963,0.0227272727272727
"Nyamuntende ",0.0185185185185185,0.0151515151515152
"Nyinga",0,0.00757575757575758
"Nyinga 2",0,0.0151515151515152
"Nyinga 2 village",0,0.00757575757575758
"Nyinga II",0.0185185185185185,0.00757575757575758
"Nyinga2 village",0.00925925925925926,0
"Popara",0,0.00757575757575758
"Popara east",0.00925925925925926,0
"Popara east ",0.00925925925925926,0
"Popara west",0,0.00757575757575758
"Popara west ",0.00925925925925926,0.0151515151515152
"Popara West ",0,0.00757575757575758
"Popara West. ",0,0.00757575757575758
"Pupara East",0.0185185185185185,0
"Pupara East ",0,0.00757575757575758
"Rwamudopio",0.0185185185185185,0.00757575757575758
"Rwamudopiyo",0.0277777777777778,0
"Rwamudopyo village",0.0185185185185185,0
"Rwsmudopyo village",0.00925925925925926,0
"Ryamutobyo",0.00925925925925926,0
"Ryomudobyo",0,0.0151515151515152
"Sabasaba",0,0.00757575757575758
"Sasaba",0,0.00757575757575758
"Tugo",0,0.00757575757575758
