"","female","male"
"1",0.0462962962962963,0.00757575757575758
"2",0.00925925925925926,0.0378787878787879
"5",0.0277777777777778,0.0227272727272727
"6",0.0277777777777778,0.0227272727272727
"7",0.0277777777777778,0.0227272727272727
"8",0.0277777777777778,0.0227272727272727
"11",0.0185185185185185,0.0303030303030303
"12",0.0462962962962963,0.00757575757575758
"13",0.00925925925925926,0.0378787878787879
"14",0.0185185185185185,0.0303030303030303
"15",0.0277777777777778,0.0227272727272727
"16",0.0555555555555556,0
"17",0.0185185185185185,0.0303030303030303
"18",0.00925925925925926,0.0378787878787879
"19",0.00925925925925926,0.0378787878787879
"20",0.037037037037037,0.0151515151515152
"25",0.037037037037037,0.0151515151515152
"29",0.037037037037037,0.0151515151515152
"30",0.0185185185185185,0.0303030303030303
"31",0.037037037037037,0.0151515151515152
"32",0.037037037037037,0.0151515151515152
"33",0.0277777777777778,0.0227272727272727
"34",0.0185185185185185,0.0303030303030303
"37",0.00925925925925926,0.0378787878787879
"38",0.037037037037037,0.0151515151515152
"101",0.00925925925925926,0.0378787878787879
"102",0.0277777777777778,0.0227272727272727
"103",0.00925925925925926,0.0378787878787879
"104",0.0277777777777778,0.00757575757575758
"105",0.0185185185185185,0.0227272727272727
"106",0.037037037037037,0.0227272727272727
"107",0.0185185185185185,0.0303030303030303
"108",0.0185185185185185,0.0303030303030303
"109",0.0277777777777778,0.0227272727272727
"110",0.00925925925925926,0.0378787878787879
"111",0.0185185185185185,0.0151515151515152
"112",0.0185185185185185,0.0151515151515152
"113",0.0185185185185185,0.0303030303030303
"114",0.0185185185185185,0.0303030303030303
"125",0.0277777777777778,0.0227272727272727
"126",0.00925925925925926,0.0151515151515152
"1026",0.00925925925925926,0.0151515151515152
