"","female","male"
"agriculture",0.592592592592593,0.53030303030303
"agriculture beekeeping",0,0.00757575757575758
"agriculture casual_labour",0.0462962962962963,0.0833333333333333
"agriculture casual_labour selling_natural_resources",0.0185185185185185,0.0151515151515152
"agriculture fishery casual_labour",0,0.00757575757575758
"agriculture fishery selling_natural_resources",0.00925925925925926,0
"agriculture livestock",0.0277777777777778,0.0378787878787879
"agriculture livestock casual_labour",0.00925925925925926,0.0151515151515152
"agriculture livestock fishery",0,0.0227272727272727
"agriculture livestock remittance",0.00925925925925926,0
"agriculture livestock selling_natural_resources",0.00925925925925926,0
"agriculture livestock small_business",0.0185185185185185,0.0303030303030303
"agriculture livestock trade",0,0.00757575757575758
"agriculture other",0,0.00757575757575758
"agriculture remittance casual_labour",0.0185185185185185,0
"agriculture remittance small_business",0.00925925925925926,0
"agriculture salary",0.0277777777777778,0.0454545454545455
"agriculture salary casual_labour",0,0.00757575757575758
"agriculture selling_natural_resources",0.0185185185185185,0.00757575757575758
"agriculture small_business",0.12037037037037,0.0833333333333333
"agriculture small_business casual_labour",0.00925925925925926,0.0227272727272727
"agriculture small_business selling_natural_resources",0,0.00757575757575758
"agriculture trade",0.00925925925925926,0.0227272727272727
"agriculture trade small_business",0,0.00757575757575758
"casual_labour",0.0185185185185185,0.00757575757575758
"livestock",0.00925925925925926,0
"salary",0,0.00757575757575758
"selling_natural_resources",0,0.00757575757575758
"small_business",0,0.00757575757575758
"small_business casual_labour",0.00925925925925926,0
"small_business casual_labour selling_natural_resources",0.00925925925925926,0
