"","female","male"
"",0.425925925925926,0.560606060606061
"disabled other",0.00925925925925926,0
"early_marriage",0.00925925925925926,0.0151515151515152
"early_marriage disabled school_too_far",0.00925925925925926,0
"early_marriage school_too_far",0,0.00757575757575758
"extensive_absences",0,0.00757575757575758
"high_cost",0.111111111111111,0.0909090909090909
"high_cost disabled early_marriage",0.00925925925925926,0
"high_cost early_marriage",0.00925925925925926,0
"high_cost lack_space school_too_far",0,0.00757575757575758
"high_cost other",0,0.00757575757575758
"high_cost poor_condition",0.00925925925925926,0
"high_cost relocation school_too_far",0.00925925925925926,0
"high_cost school_too_far",0.0740740740740741,0.0454545454545455
"high_cost school_too_far no_transport",0.00925925925925926,0
"high_cost school_too_far other",0.00925925925925926,0
"high_cost school_too_far too_young",0,0.00757575757575758
"high_cost too_young",0,0.0378787878787879
"household_chores",0.00925925925925926,0.00757575757575758
"household_chores school_too_far other",0.00925925925925926,0
"household_chores working",0.00925925925925926,0
"insecurity",0.00925925925925926,0
"lack_space",0,0.00757575757575758
"new_arrival",0.0185185185185185,0
"none",0.0185185185185185,0.0151515151515152
"other",0.0740740740740741,0.0151515151515152
"poor_condition",0.00925925925925926,0
"relocation",0,0.00757575757575758
"relocation too_young",0.00925925925925926,0
"school_too_far",0.037037037037037,0.053030303030303
"school_too_far other",0.00925925925925926,0.00757575757575758
"school_too_far too_young",0.00925925925925926,0
"too_young",0.0740740740740741,0.0909090909090909
"too_young other",0.00925925925925926,0
"working",0,0.00757575757575758
