"","female","male"
"",0.87962962962963,0.96969696969697
"Can't be taken to school because they are disabled (can't speak)",0.00925925925925926,0
"Cost of living is high
Since I have a child with epilepsy",0,0.00757575757575758
"Disability ",0,0.00757575757575758
"Evictions from area of residence so not certain of next relocation",0,0.00757575757575758
"Has no knowledge in class ",0,0.00757575757575758
"He refused to study ",0.00925925925925926,0
"Just a worker",0.00925925925925926,0
"Land evictions from areas of residence so not bothering to take children to school ",0.00925925925925926,0
"Land evictions from areas of residence so not certain of next relocation ",0.00925925925925926,0
"Married there",0.00925925925925926,0
"Married there ",0.00925925925925926,0
"one of the children deliberately refused to school because of age",0.00925925925925926,0
"She just left ",0.00925925925925926,0
"She left alone",0.00925925925925926,0
"Sickness ",0.00925925925925926,0
"They are still young",0.00925925925925926,0
"Usable to pay school fees. ",0.00925925925925926,0
