"","female","male"
"community_group",0.138888888888889,0.128787878787879
"local_government",0.240740740740741,0.25
"local_government community_group",0.0555555555555556,0.0227272727272727
"none",0.0185185185185185,0
"opm",0.00925925925925926,0
"police",0.0555555555555556,0.136363636363636
"police community_group",0.0277777777777778,0.0303030303030303
"police local_government",0.203703703703704,0.265151515151515
"police local_government community_group",0.240740740740741,0.159090909090909
"police local_government opm",0.00925925925925926,0
"police local_government other",0,0.00757575757575758
