"","female","male"
"2018-04-30T09:07:34.502+03",0.00925925925925926,0
"2018-05-02T09:28:52.908+01",0,0.00757575757575758
"2018-05-02T10:18:18.320+01",0.00925925925925926,0
"2018-05-02T10:18:55.331+01",0,0.00757575757575758
"2018-05-02T10:24:33.643+03",0,0.00757575757575758
"2018-05-02T10:24:37.847+03",0.00925925925925926,0
"2018-05-02T10:28:39.715+01",0,0.00757575757575758
"2018-05-02T11:15:22.004+03",0,0.00757575757575758
"2018-05-02T11:25:38.210+01",0.00925925925925926,0
"2018-05-02T11:49:47.487+01",0,0.00757575757575758
"2018-05-02T12:23:31.989+01",0.00925925925925926,0
"2018-05-02T12:59:41.416+03",0.00925925925925926,0
"2018-05-02T13:17:21.733+03",0.00925925925925926,0
"2018-05-02T14:33:13.572+01",0,0.00757575757575758
"2018-05-02T14:34:56.894+01",0,0.00757575757575758
"2018-05-02T14:35:38.961+03",0,0.00757575757575758
"2018-05-02T14:37:13.499+01",0.00925925925925926,0
"2018-05-02T15:10:39.630+01",0,0.00757575757575758
"2018-05-02T15:11:30.243+01",0,0.00757575757575758
"2018-05-02T15:14:13.567+03",0,0.00757575757575758
"2018-05-02T15:14:58.215+01",0,0.00757575757575758
"2018-05-02T15:20:06.769+03",0.00925925925925926,0
"2018-05-02T15:37:01.570+01",0,0.00757575757575758
"2018-05-02T16:24:44.804+01",0,0.00757575757575758
"2018-05-04T11:04:30.765+01",0.00925925925925926,0
"2018-05-04T11:08:17.026+01",0.00925925925925926,0
"2018-05-04T11:19:45.617+03",0,0.00757575757575758
"2018-05-04T11:22:55.745+01",0,0.00757575757575758
"2018-05-04T12:10:11.795+01",0.00925925925925926,0
"2018-05-04T12:10:34.178+01",0.00925925925925926,0
"2018-05-04T12:12:50.214+03",0,0.00757575757575758
"2018-05-04T12:20:54.215+03",0.00925925925925926,0
"2018-05-04T12:36:38.868+01",0.00925925925925926,0
"2018-05-04T12:38:32.098+01",0,0.00757575757575758
"2018-05-04T12:42:11.655+03",0,0.00757575757575758
"2018-05-04T12:59:00.494+01",0.00925925925925926,0
"2018-05-04T13:22:18.911+03",0,0.00757575757575758
"2018-05-04T13:23:22.515+01",0.00925925925925926,0
"2018-05-04T13:25:08.717+03",0,0.00757575757575758
"2018-05-04T13:53:50.783+03",0.00925925925925926,0
"2018-05-04T13:57:44.163+01",0,0.00757575757575758
"2018-05-04T14:05:48.955+01",0.00925925925925926,0
"2018-05-04T14:12:34.173+01",0,0.00757575757575758
"2018-05-04T14:18:33.810+01",0.00925925925925926,0
"2018-05-04T14:22:58.478+01",0.00925925925925926,0
"2018-05-04T14:24:45.331+03",0,0.00757575757575758
"2018-05-04T14:48:44.150+03",0.00925925925925926,0
"2018-05-04T14:52:51.517+03",0,0.00757575757575758
"2018-05-04T14:59:27.231+03",0,0.00757575757575758
"2018-05-04T15:04:02.264+01",0.00925925925925926,0
"2018-05-04T15:13:08.817+01",0.00925925925925926,0
"2018-05-04T15:14:53.715+01",0.00925925925925926,0
"2018-05-04T15:27:55.175+01",0,0.00757575757575758
"2018-05-04T15:39:47.164+03",0,0.00757575757575758
"2018-05-05T09:33:28.026+03",0.00925925925925926,0
