"","female","male"
"",0.675925925925926,0.613636363636364
"further_water_point",0.12962962962963,0.113636363636364
"further_water_point use_non_drinking_water",0.00925925925925926,0
"none",0.00925925925925926,0.0303030303030303
"reduce_bathing",0.0833333333333333,0.0984848484848485
"reduce_bathing further_water_point",0.037037037037037,0.0606060606060606
"reduce_bathing other",0.00925925925925926,0
"reduce_bathing spend_money further_water_point",0.00925925925925926,0.00757575757575758
"reduce_bathing use_non_drinking_water",0,0.00757575757575758
"reduce_drinking",0.0185185185185185,0.0151515151515152
"reduce_drinking reduce_bathing",0,0.00757575757575758
"spend_money",0.0185185185185185,0.0454545454545455
