"","female","male"
"2",0,0.0227272727272727
"6",0.00925925925925926,0
"10",0.00925925925925926,0
"15",0.00925925925925926,0
"40",0.0185185185185185,0.0378787878787879
"48",0.00925925925925926,0
"50",0.037037037037037,0.0227272727272727
"55",0.00925925925925926,0
"60",0.0555555555555556,0.0757575757575758
"65",0.00925925925925926,0
"66",0,0.00757575757575758
"80",0.101851851851852,0.121212121212121
"85",0.00925925925925926,0.00757575757575758
"90",0.037037037037037,0
"100",0.0833333333333333,0.0606060606060606
"105",0,0.0151515151515152
"110",0.0462962962962963,0.0227272727272727
"120",0.111111111111111,0.143939393939394
"125",0.00925925925925926,0
"130",0.00925925925925926,0.00757575757575758
"140",0.0648148148148148,0.053030303030303
"146",0.00925925925925926,0
"150",0.0277777777777778,0.00757575757575758
"160",0.0740740740740741,0.0757575757575758
"165",0,0.00757575757575758
"170",0.0185185185185185,0.00757575757575758
"175",0.00925925925925926,0.00757575757575758
"178",0,0.00757575757575758
"180",0.0740740740740741,0.0227272727272727
"183",0,0.00757575757575758
"192",0,0.00757575757575758
"195",0.00925925925925926,0.00757575757575758
"200",0.037037037037037,0.053030303030303
"210",0,0.00757575757575758
"220",0,0.0303030303030303
"240",0.0555555555555556,0.0681818181818182
"255",0.00925925925925926,0
"260",0.00925925925925926,0.00757575757575758
"280",0,0.00757575757575758
"290",0,0.00757575757575758
"300",0.00925925925925926,0.00757575757575758
"320",0.00925925925925926,0.0151515151515152
"350",0,0.00757575757575758
"360",0,0.00757575757575758
"400",0,0.00757575757575758
"410",0.00925925925925926,0
"480",0,0.00757575757575758
"800",0,0.00757575757575758
