"","host_community"
"education",0.00416666666666667
"education protection",0.00416666666666667
"food",0.0291666666666667
"food education",0.0208333333333333
"food education other",0.00416666666666667
"food education protection",0.00416666666666667
"food health_nutrition",0.0208333333333333
"food health_nutrition education",0.0541666666666667
"food health_nutrition livelihoods",0.0125
"food health_nutrition other",0.00416666666666667
"food health_nutrition protection",0.00416666666666667
"food health_nutrition shelter",0.0291666666666667
"food health_nutrition water_sanitation",0.05
"food livelihoods",0.0125
"food livelihoods education",0.0291666666666667
"food livelihoods other",0.00833333333333333
"food livelihoods shelter",0.00416666666666667
"food nfis education",0.00416666666666667
"food other",0.00416666666666667
"food protection other",0.00416666666666667
"food shelter",0.00416666666666667
"food shelter education",0.0291666666666667
"food water_sanitation",0.0458333333333333
"food water_sanitation education",0.0625
"food water_sanitation livelihoods",0.0125
"food water_sanitation nfis",0.00416666666666667
"food water_sanitation other",0.00416666666666667
"food water_sanitation shelter",0.0291666666666667
"health_nutrition",0.0125
"health_nutrition education",0.0208333333333333
"health_nutrition livelihoods",0.0125
"health_nutrition livelihoods education",0.0125
"health_nutrition livelihoods protection",0.00416666666666667
"health_nutrition livelihoods shelter",0.00833333333333333
"health_nutrition other",0.00416666666666667
"health_nutrition shelter",0.00833333333333333
"health_nutrition shelter education",0.0458333333333333
"health_nutrition water_sanitation",0.0125
"health_nutrition water_sanitation education",0.0833333333333333
"health_nutrition water_sanitation livelihoods",0.00833333333333333
"health_nutrition water_sanitation nfis",0.00833333333333333
"health_nutrition water_sanitation shelter",0.0291666666666667
"livelihoods",0.0125
"livelihoods education",0.0208333333333333
"livelihoods nfis education",0.00416666666666667
"livelihoods other",0.00416666666666667
"livelihoods shelter",0.00416666666666667
"livelihoods shelter education",0.0166666666666667
"livelihoods shelter other",0.00833333333333333
"nfis",0.00416666666666667
"none",0.00416666666666667
"other",0.00416666666666667
"shelter",0.00416666666666667
"shelter education",0.0125
"shelter education protection",0.00416666666666667
"shelter nfis education",0.00416666666666667
"water_sanitation",0.00416666666666667
"water_sanitation education",0.0416666666666667
"water_sanitation education protection",0.0166666666666667
"water_sanitation livelihoods",0.00416666666666667
"water_sanitation livelihoods education",0.0125
"water_sanitation livelihoods shelter",0.00416666666666667
"water_sanitation nfis education",0.00416666666666667
"water_sanitation protection",0.00416666666666667
"water_sanitation shelter",0.00416666666666667
"water_sanitation shelter education",0.0208333333333333
"water_sanitation shelter protection",0.00416666666666667
