"","host_community"
"",0.0833333333333333
"2016-08-01",0.00416666666666667
"2016-11-01",0.00416666666666667
"2017-01-01",0.0166666666666667
"2017-02-01",0.025
"2017-03-01",0.0291666666666667
"2017-04-01",0.0458333333333333
"2017-05-01",0.0375
"2017-06-01",0.025
"2017-07-01",0.025
"2017-08-01",0.0458333333333333
"2017-09-01",0.0291666666666667
"2017-10-01",0.0333333333333333
"2017-11-01",0.0291666666666667
"2017-12-01",0.05
"2018-01-01",0.0625
"2018-02-01",0.0583333333333333
"2018-03-01",0.108333333333333
"2018-04-01",0.15
"2018-05-01",0.133333333333333
"2018-12-01",0.00416666666666667
