"","host_community"
"1",0.00416666666666667
"2",0.00416666666666667
"3",0.0625
"4",0.1
"5",0.0916666666666667
"6",0.120833333333333
"7",0.108333333333333
"8",0.108333333333333
"9",0.0708333333333333
"10",0.0916666666666667
"11",0.0416666666666667
"12",0.0375
"13",0.0416666666666667
"14",0.0208333333333333
"15",0.0208333333333333
"16",0.0125
"17",0.0166666666666667
"18",0.0166666666666667
"19",0.00833333333333333
"21",0.00833333333333333
"24",0.00416666666666667
"26",0.00416666666666667
"38",0.00416666666666667
