"","host_community"
"",0.725
"Access to services",0.00416666666666667
"Alcoholism which leads to over fighting in the village ",0.00416666666666667
"Attack by wild animals especially elephants",0.00416666666666667
"Attacks by elephants that destroys the food that has been cultivated for consumption ",0.00416666666666667
"Attacks from animals",0.00416666666666667
"Attacks from wild animals",0.00833333333333333
"Because our shelter we sleep in is so bad so this puts us on fear that any thing can happen when we are sleeping ",0.00416666666666667
"Being robbed by thieves in the night",0.00416666666666667
"Crops are always attack by wild animals",0.00416666666666667
"Elephant attack",0.00833333333333333
"Land eviction ",0.00416666666666667
"Land evictions ",0.00416666666666667
"Land evictions from areas of residence ",0.00416666666666667
"Land gazetted for development by the government",0.00416666666666667
"Night dancers ",0.00416666666666667
"Poultry  theft",0.00416666666666667
"Rampant theft ",0.00416666666666667
"Rampant Theft ",0.00416666666666667
"Security is far away from us",0.00416666666666667
"Security posts are far so this gives thieves do much of stealing ",0.00416666666666667
"Stealing food from gardenLG",0.00416666666666667
"Stealing of food from gardens",0.00416666666666667
"Theft",0.025
"Theft ",0.00833333333333333
"Theft and witches",0.00416666666666667
"Theft by other members in the village",0.00416666666666667
"Theft is also rampant ",0.00416666666666667
"Theft is so high",0.00416666666666667
"Theft is so high and nothing is always done to such people due to corrupt leadership ",0.00416666666666667
"Theft like stealing of properties e.g goats,chicken etc",0.00416666666666667
"Theft of animals and poultry ",0.00416666666666667
"Theft of animals and properties ",0.00416666666666667
"Theft of items in the village ",0.00416666666666667
"Theft of properties is rampant, Attacks by elephants on their crops ",0.00416666666666667
"Theft of property ",0.00416666666666667
"Theft( stealing our belongings put us at risk every time )",0.00416666666666667
"Thefty",0.0416666666666667
"Thefty ",0.0125
"Their  land was taken by the government  investors ",0.00416666666666667
"Thieves",0.00416666666666667
"Wetches",0.00416666666666667
"Wild animals ",0.00416666666666667
"Wild animals always destroy my crops",0.00416666666666667
"Witch craft and wizards",0.00416666666666667
"Witch craft is being practiced seriously ",0.00416666666666667
"Witchcraft ",0.00416666666666667
"Witchcraft attack by neighbours",0.00416666666666667
