"","host_community"
"",0.8875
"Bicycle, permanent latrine",0.00416666666666667
"Chairs",0.00416666666666667
"Clothes ",0.00833333333333333
"Clothes, house items",0.00416666666666667
"Cloths",0.00416666666666667
"Fuel for cooking",0.00416666666666667
"Goat, cows, money. ",0.00416666666666667
"House hold items",0.00416666666666667
"House,motorcycle",0.00416666666666667
"Household utensils",0.00416666666666667
"Improved cooking stove",0.00416666666666667
"Iron sheets and lighting system like solar or electricity ",0.00416666666666667
"Land",0.00416666666666667
"Lighting system especially solar or electricity and radios to be up-to-date ",0.00416666666666667
"More torches",0.00416666666666667
"Ox-plough, oxen, roads, lands ",0.00416666666666667
"Pens, books for children. ",0.00416666666666667
"Shelter",0.0125
"Solar system for light",0.00416666666666667
"Tables, chairs, beddings.",0.00416666666666667
"Tapline for drying agricultural products",0.00416666666666667
"Tapline for drying crops",0.00416666666666667
"Tree seedlings, eucalyptus. ",0.00416666666666667
"TV, bicycle. ",0.00416666666666667
