"","host_community"
"borehole",0.0791666666666667
"none",0.233333333333333
"other",0.0416666666666667
"protected_rainwater_tank",0.00416666666666667
"protected_spring",0.00833333333333333
"protected_spring unprotected_well",0.00416666666666667
"protected_well",0.05
"protected_well water_truck",0.00416666666666667
"surface_water",0.358333333333333
"surface_water other",0.00416666666666667
"surface_water water_truck",0.00416666666666667
"unprotected_rainwater_tank",0.00833333333333333
"unprotected_spring",0.0333333333333333
"unprotected_spring surface_water",0.00416666666666667
"unprotected_well",0.129166666666667
"unprotected_well surface_water",0.00833333333333333
"unprotected_well water_truck",0.0166666666666667
"water_truck",0.00833333333333333
