"","host_community"
"16",0.00416666666666667
"19",0.00833333333333333
"20",0.025
"21",0.0125
"22",0.025
"23",0.025
"24",0.0291666666666667
"25",0.0416666666666667
"26",0.0125
"27",0.0208333333333333
"28",0.0416666666666667
"29",0.00416666666666667
"30",0.0375
"31",0.0125
"32",0.0375
"33",0.0166666666666667
"34",0.0208333333333333
"35",0.025
"36",0.0375
"37",0.0208333333333333
"38",0.0375
"39",0.0208333333333333
"40",0.0291666666666667
"41",0.0166666666666667
"42",0.0333333333333333
"43",0.00416666666666667
"44",0.025
"45",0.0333333333333333
"46",0.0333333333333333
"47",0.00416666666666667
"48",0.0208333333333333
"49",0.0166666666666667
"50",0.0333333333333333
"51",0.0125
"52",0.0208333333333333
"53",0.0125
"54",0.0125
"55",0.0208333333333333
"56",0.0166666666666667
"57",0.00416666666666667
"58",0.0125
"59",0.0125
"60",0.025
"61",0.00416666666666667
"62",0.0125
"63",0.0125
"64",0.00416666666666667
"65",0.0125
"68",0.0125
"70",0.00416666666666667
"74",0.00416666666666667
"77",0.00416666666666667
"78",0.00833333333333333
"94",0.00416666666666667
