"","host_community"
"",0.783333333333333
"books bag uniform transportation",0.00416666666666667
"books tuition",0.0125
"books tuition transportation",0.00833333333333333
"books tuition uniform",0.025
"books tuition uniform food",0.00416666666666667
"books tuition uniform transportation",0.00833333333333333
"books tuition uniform transportation food",0.00833333333333333
"books uniform transportation",0.00416666666666667
"books writing_materials bag tuition uniform",0.00416666666666667
"books writing_materials bag tuition uniform food",0.00416666666666667
"books writing_materials tuition",0.00416666666666667
"books writing_materials tuition uniform",0.05
"books writing_materials tuition uniform food",0.0166666666666667
"books writing_materials tuition uniform food other",0.00416666666666667
"books writing_materials tuition uniform transportation",0.00416666666666667
"books writing_materials uniform food",0.00416666666666667
"tuition",0.025
"tuition transportation",0.00416666666666667
"tuition uniform",0.00416666666666667
"writing_materials tuition uniform",0.0125
"writing_materials tuition uniform transportation",0.00416666666666667
