"","host_community"
"",0.4375
"drugs_cost",0.0166666666666667
"drugs_cost lack_drugs_hc",0.0375
"drugs_cost lack_drugs_hc no_transport",0.00833333333333333
"drugs_cost no_transport",0.00833333333333333
"healthcare_cost",0.0958333333333333
"healthcare_cost drugs_cost",0.025
"healthcare_cost drugs_cost lack_drugs_hc",0.00833333333333333
"healthcare_cost drugs_cost no_support_family",0.00416666666666667
"healthcare_cost drugs_cost no_transport",0.00833333333333333
"healthcare_cost lack_drugs_hc",0.0166666666666667
"healthcare_cost lack_drugs_hc no_transport",0.00416666666666667
"healthcare_cost no_transport",0.00833333333333333
"healthcare_cost no_transport no_health_referral",0.00416666666666667
"healthcare_cost refused_treatment",0.00416666666666667
"healthcare_cost unqualified_staff_hosp",0.00416666666666667
"healthcare_cost unqualified_staff_hosp drugs_cost",0.00416666666666667
"healthcare_cost unqualified_staff_hosp lack_drugs_hc",0.00416666666666667
"lack_drugs_hc",0.141666666666667
"lack_drugs_hc no_transport",0.0208333333333333
"lack_drugs_hc no_transport no_health_referral",0.00416666666666667
"lack_drugs_pharmacy",0.00416666666666667
"lack_drugs_pharmacy no_transport",0.00416666666666667
"language_barrier lack_drugs_hc no_transport",0.00416666666666667
"no_answer",0.00416666666666667
"no_health_referral",0.00416666666666667
"no_offered_treatment_phc",0.00416666666666667
"no_transport",0.0666666666666667
"none",0.00416666666666667
"refused_treatment",0.00833333333333333
"refused_treatment lack_drugs_hc no_transport",0.00416666666666667
"refused_treatment no_health_referral",0.00416666666666667
"unqualified_staff_hosp",0.00833333333333333
"unqualified_staff_hosp drugs_cost refused_treatment",0.00416666666666667
"unqualified_staff_hosp lack_drugs_hc",0.00833333333333333
