"","host_community"
"",0.641666666666667
"further_water_point",0.120833333333333
"further_water_point use_non_drinking_water",0.00416666666666667
"none",0.0208333333333333
"reduce_bathing",0.0916666666666667
"reduce_bathing further_water_point",0.05
"reduce_bathing other",0.00416666666666667
"reduce_bathing spend_money further_water_point",0.00833333333333333
"reduce_bathing use_non_drinking_water",0.00416666666666667
"reduce_drinking",0.0166666666666667
"reduce_drinking reduce_bathing",0.00416666666666667
"spend_money",0.0333333333333333
