"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"0",0.25,0,0,0,0,0
"1",0,0,0,0.00970873786407767,0.157894736842105,0
"2",0,0.0784313725490196,0,0.135922330097087,0.210526315789474,0.127272727272727
"3",0.5,0.235294117647059,0,0.194174757281553,0.263157894736842,0.2
"4",0.25,0.274509803921569,0.666666666666667,0.281553398058252,0.157894736842105,0.127272727272727
"5",0,0.156862745098039,0,0.0970873786407767,0,0.127272727272727
"6",0,0.0784313725490196,0.333333333333333,0.12621359223301,0.105263157894737,0.145454545454545
"7",0,0.0392156862745098,0,0.0388349514563107,0,0.109090909090909
"8",0,0.0588235294117647,0,0.058252427184466,0,0.0909090909090909
"9",0,0.0196078431372549,0,0.00970873786407767,0,0.0181818181818182
"10",0,0.0392156862745098,0,0.0194174757281553,0.0526315789473684,0.0363636363636364
"11",0,0.0196078431372549,0,0.00970873786407767,0,0
"12",0,0,0,0.0194174757281553,0,0
"17",0,0,0,0,0,0.0181818181818182
"20",0,0,0,0,0.0526315789473684,0
