"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"0",0,0.137254901960784,0,0.058252427184466,0.0526315789473684,0.0545454545454545
"1",0.5,0.196078431372549,0,0.203883495145631,0.105263157894737,0.290909090909091
"2",0.25,0.294117647058824,0,0.262135922330097,0.473684210526316,0.363636363636364
"3",0.25,0.0980392156862745,0.333333333333333,0.174757281553398,0,0.127272727272727
"4",0,0.176470588235294,0.666666666666667,0.0970873786407767,0.210526315789474,0.0545454545454545
"5",0,0.0392156862745098,0,0.0485436893203883,0.105263157894737,0.0727272727272727
"6",0,0.0392156862745098,0,0.087378640776699,0,0.0181818181818182
"7",0,0.0196078431372549,0,0.00970873786407767,0,0
"8",0,0,0,0.0388349514563107,0,0.0181818181818182
"10",0,0,0,0.00970873786407767,0.0526315789473684,0
"12",0,0,0,0.00970873786407767,0,0
