"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"education",0,0,0,0,0,0.0169491525423729
"education protection",0,0.0196078431372549,0,0,0,0
"food",0.25,0,0,0.00961538461538462,0.157894736842105,0.0338983050847458
"food education",0,0,0,0.0288461538461538,0.0526315789473684,0.0169491525423729
"food education other",0,0,0,0,0,0.0169491525423729
"food education protection",0,0,0,0,0,0.0169491525423729
"food health_nutrition",0.5,0.0196078431372549,0,0,0,0.0338983050847458
"food health_nutrition education",0,0.0196078431372549,0,0.0865384615384615,0.0526315789473684,0.0338983050847458
"food health_nutrition livelihoods",0,0.0392156862745098,0,0,0.0526315789473684,0
"food health_nutrition other",0,0,0,0,0,0.0169491525423729
"food health_nutrition protection",0,0,0,0.00961538461538462,0,0
"food health_nutrition shelter",0,0.0196078431372549,0,0.0288461538461538,0,0.0508474576271186
"food health_nutrition water_sanitation",0,0.0784313725490196,0,0.0192307692307692,0.105263157894737,0.0677966101694915
"food livelihoods",0,0.0392156862745098,0,0,0,0.0169491525423729
"food livelihoods education",0,0.0784313725490196,0,0.0192307692307692,0,0.0169491525423729
"food livelihoods other",0,0.0196078431372549,0,0,0,0.0169491525423729
"food livelihoods shelter",0,0.0196078431372549,0,0,0,0
"food nfis education",0,0.0196078431372549,0,0,0,0
"food other",0,0,0,0,0,0.0169491525423729
"food protection other",0,0.0196078431372549,0,0,0,0
"food shelter",0,0,0,0.00961538461538462,0,0
"food shelter education",0,0.0392156862745098,0,0.0384615384615385,0.0526315789473684,0
"food water_sanitation",0,0.0196078431372549,1,0,0.263157894736842,0.0338983050847458
"food water_sanitation education",0,0.0980392156862745,0,0.0673076923076923,0,0.0508474576271186
"food water_sanitation livelihoods",0,0,0,0.0192307692307692,0,0.0169491525423729
"food water_sanitation nfis",0,0,0,0,0.0526315789473684,0
"food water_sanitation other",0,0.0196078431372549,0,0,0,0
"food water_sanitation shelter",0,0,0,0.0288461538461538,0.0526315789473684,0.0508474576271186
"health_nutrition",0,0,0,0.0288461538461538,0,0
"health_nutrition education",0,0.0196078431372549,0,0.0288461538461538,0,0.0169491525423729
"health_nutrition livelihoods",0,0,0,0.0288461538461538,0,0
"health_nutrition livelihoods education",0,0,0,0.0288461538461538,0,0
"health_nutrition livelihoods protection",0,0.0196078431372549,0,0,0,0
"health_nutrition livelihoods shelter",0,0,0,0.0192307692307692,0,0
"health_nutrition other",0,0,0,0,0,0.0169491525423729
"health_nutrition shelter",0,0,0,0.00961538461538462,0,0.0169491525423729
"health_nutrition shelter education",0,0.0196078431372549,0,0.0769230769230769,0,0.0338983050847458
"health_nutrition water_sanitation",0,0.0392156862745098,0,0.00961538461538462,0,0
"health_nutrition water_sanitation education",0.25,0,0,0.153846153846154,0,0.0508474576271186
"health_nutrition water_sanitation livelihoods",0,0.0196078431372549,0,0.00961538461538462,0,0
"health_nutrition water_sanitation nfis",0,0,0,0,0.0526315789473684,0.0169491525423729
"health_nutrition water_sanitation shelter",0,0.0196078431372549,0,0.0480769230769231,0,0.0169491525423729
"livelihoods",0,0.0392156862745098,0,0.00961538461538462,0,0
"livelihoods education",0,0.0196078431372549,0,0.0192307692307692,0.0526315789473684,0.0169491525423729
"livelihoods nfis education",0,0,0,0,0,0.0169491525423729
"livelihoods other",0,0,0,0,0,0.0169491525423729
"livelihoods shelter",0,0.0196078431372549,0,0,0,0
"livelihoods shelter education",0,0.0392156862745098,0,0.00961538461538462,0,0.0169491525423729
"livelihoods shelter other",0,0,0,0,0,0.0338983050847458
"nfis",0,0,0,0,0,0.0169491525423729
"none",0,0,0,0,0.0526315789473684,0
"other",0,0,0,0,0,0.0169491525423729
"shelter",0,0,0,0,0,0.0169491525423729
"shelter education",0,0.0392156862745098,0,0,0,0.0169491525423729
"shelter education protection",0,0,0,0,0,0.0169491525423729
"shelter nfis education",0,0,0,0,0,0.0169491525423729
"water_sanitation",0,0,0,0.00961538461538462,0,0
"water_sanitation education",0,0.0392156862745098,0,0.0673076923076923,0,0.0169491525423729
"water_sanitation education protection",0,0,0,0.0288461538461538,0,0.0169491525423729
"water_sanitation livelihoods",0,0,0,0.00961538461538462,0,0
"water_sanitation livelihoods education",0,0,0,0.00961538461538462,0,0.0338983050847458
"water_sanitation livelihoods shelter",0,0,0,0.00961538461538462,0,0
"water_sanitation nfis education",0,0,0,0,0,0.0169491525423729
"water_sanitation protection",0,0.0196078431372549,0,0,0,0
"water_sanitation shelter",0,0,0,0.00961538461538462,0,0
"water_sanitation shelter education",0,0.0784313725490196,0,0,0,0.0169491525423729
"water_sanitation shelter protection",0,0,0,0.00961538461538462,0,0
