"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"0",0.25,0.196078431372549,0.666666666666667,0.0961538461538462,0.105263157894737,0.0847457627118644
"1",0.5,0.294117647058824,0,0.288461538461538,0.157894736842105,0.23728813559322
"2",0.25,0.254901960784314,0.333333333333333,0.298076923076923,0.473684210526316,0.338983050847458
"3",0,0.176470588235294,0,0.192307692307692,0.105263157894737,0.220338983050847
"4",0,0.0392156862745098,0,0.0769230769230769,0,0.0169491525423729
"5",0,0.0392156862745098,0,0.0288461538461538,0.105263157894737,0.0338983050847458
"6",0,0,0,0.00961538461538462,0,0.0338983050847458
"8",0,0,0,0.00961538461538462,0,0.0169491525423729
"9",0,0,0,0,0,0.0169491525423729
"13",0,0,0,0,0.0526315789473684,0
