"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"0",0,0.0196078431372549,0,0.134615384615385,0.105263157894737,0.11864406779661
"1",0,0.196078431372549,0.333333333333333,0.144230769230769,0.157894736842105,0.203389830508475
"2",0,0.156862745098039,0.333333333333333,0.211538461538462,0.368421052631579,0.220338983050847
"3",0.75,0.352941176470588,0.333333333333333,0.153846153846154,0.210526315789474,0.220338983050847
"4",0,0.137254901960784,0,0.105769230769231,0.0526315789473684,0.0677966101694915
"5",0.25,0.0588235294117647,0,0.134615384615385,0,0.0677966101694915
"6",0,0.0588235294117647,0,0.0480769230769231,0.0526315789473684,0.0677966101694915
"7",0,0.0196078431372549,0,0.0288461538461538,0,0.0169491525423729
"8",0,0,0,0.0192307692307692,0,0
"9",0,0,0,0.00961538461538462,0,0.0169491525423729
"10",0,0,0,0.00961538461538462,0,0
"14",0,0,0,0,0.0526315789473684,0
