"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"0",0,0.0588235294117647,0,0.182692307692308,0.157894736842105,0.135593220338983
"1",0,0.274509803921569,0.333333333333333,0.163461538461538,0.315789473684211,0.220338983050847
"2",0.25,0.254901960784314,0.333333333333333,0.25,0.210526315789474,0.271186440677966
"3",0.5,0.215686274509804,0.333333333333333,0.115384615384615,0.157894736842105,0.203389830508475
"4",0,0.0784313725490196,0,0.105769230769231,0.105263157894737,0.0508474576271186
"5",0.25,0.0588235294117647,0,0.0865384615384615,0,0.0508474576271186
"6",0,0.0588235294117647,0,0.0480769230769231,0,0.0677966101694915
"7",0,0,0,0.0192307692307692,0,0
"8",0,0,0,0.00961538461538462,0.0526315789473684,0
"9",0,0,0,0.0192307692307692,0,0
