"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"0",0,0.0196078431372549,0,0.00961538461538462,0,0.0169491525423729
"1",0,0.137254901960784,0.333333333333333,0.105769230769231,0.210526315789474,0.0677966101694915
"2",0.5,0.156862745098039,0.333333333333333,0.192307692307692,0.157894736842105,0.135593220338983
"3",0.25,0.137254901960784,0,0.105769230769231,0.210526315789474,0.203389830508475
"4",0.25,0.196078431372549,0,0.259615384615385,0.210526315789474,0.203389830508475
"5",0,0.176470588235294,0.333333333333333,0.0769230769230769,0.0526315789473684,0.152542372881356
"6",0,0.117647058823529,0,0.0673076923076923,0.0526315789473684,0.0338983050847458
"7",0,0.0196078431372549,0,0.0480769230769231,0,0.0677966101694915
"8",0,0.0196078431372549,0,0.0576923076923077,0,0.0677966101694915
"9",0,0,0,0.0288461538461538,0.0526315789473684,0.0169491525423729
"10",0,0,0,0.0288461538461538,0,0.0169491525423729
"11",0,0.0196078431372549,0,0.00961538461538462,0,0
"12",0,0,0,0.00961538461538462,0,0
"15",0,0,0,0,0,0.0169491525423729
"17",0,0,0,0,0.0526315789473684,0
