"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"0",0,0.137254901960784,0.333333333333333,0.115384615384615,0.263157894736842,0.0677966101694915
"1",0.5,0.176470588235294,0.333333333333333,0.211538461538462,0.157894736842105,0.203389830508475
"2",0.5,0.294117647058824,0,0.173076923076923,0.210526315789474,0.271186440677966
"3",0,0.176470588235294,0,0.240384615384615,0.157894736842105,0.169491525423729
"4",0,0.156862745098039,0.333333333333333,0.0961538461538462,0.105263157894737,0.101694915254237
"5",0,0.0196078431372549,0,0.0961538461538462,0,0.0847457627118644
"6",0,0.0196078431372549,0,0.0384615384615385,0,0.0508474576271186
"7",0,0,0,0.0192307692307692,0.0526315789473684,0.0338983050847458
"8",0,0.0196078431372549,0,0,0.0526315789473684,0
"9",0,0,0,0.00961538461538462,0,0
"12",0,0,0,0,0,0.0169491525423729
