"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"0",0,0.0196078431372549,0,0,0,0.0169491525423729
"1",0,0,0,0.115384615384615,0.0526315789473684,0.0847457627118644
"2",0,0.137254901960784,0.333333333333333,0.134615384615385,0.210526315789474,0.186440677966102
"3",0,0.215686274509804,0,0.163461538461538,0.421052631578947,0.169491525423729
"4",0.25,0.274509803921569,0.333333333333333,0.153846153846154,0.105263157894737,0.11864406779661
"5",0.25,0.156862745098039,0.333333333333333,0.0865384615384615,0.105263157894737,0.135593220338983
"6",0.5,0.0784313725490196,0,0.105769230769231,0,0.0847457627118644
"7",0,0.0588235294117647,0,0.0865384615384615,0.0526315789473684,0.101694915254237
"8",0,0.0392156862745098,0,0.0673076923076923,0,0.0677966101694915
"9",0,0,0,0.0288461538461538,0,0
"10",0,0.0196078431372549,0,0.0192307692307692,0,0.0169491525423729
"11",0,0,0,0.00961538461538462,0,0
"12",0,0,0,0.00961538461538462,0,0.0169491525423729
"13",0,0,0,0.00961538461538462,0,0
"14",0,0,0,0.00961538461538462,0,0
"21",0,0,0,0,0.0526315789473684,0
