"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"0",0,0.0196078431372549,0,0.0288461538461538,0,0
"1",0,0.0196078431372549,0.333333333333333,0.0673076923076923,0.0526315789473684,0.0169491525423729
"2",0,0.137254901960784,0,0.0961538461538462,0.210526315789474,0.101694915254237
"3",0,0.0980392156862745,0.333333333333333,0.0865384615384615,0.210526315789474,0.169491525423729
"4",0.5,0.0588235294117647,0,0.173076923076923,0.157894736842105,0.220338983050847
"5",0.25,0.196078431372549,0,0.0961538461538462,0.0526315789473684,0.101694915254237
"6",0,0.235294117647059,0,0.125,0.105263157894737,0.0847457627118644
"7",0.25,0.117647058823529,0.333333333333333,0.0961538461538462,0,0.0508474576271186
"8",0,0.0588235294117647,0,0.0576923076923077,0.105263157894737,0.11864406779661
"9",0,0,0,0.0288461538461538,0.0526315789473684,0.0677966101694915
"10",0,0.0196078431372549,0,0.0576923076923077,0,0
"11",0,0.0196078431372549,0,0.0192307692307692,0,0
"12",0,0,0,0.0192307692307692,0,0.0338983050847458
"13",0,0,0,0.00961538461538462,0,0.0169491525423729
"14",0,0.0196078431372549,0,0.0288461538461538,0,0
"15",0,0,0,0,0,0.0169491525423729
"17",0,0,0,0.00961538461538462,0,0
"21",0,0,0,0,0.0526315789473684,0
