"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"Alfred",0,0.176470588235294,0,0.0673076923076923,0,0.101694915254237
"Alfred ",0,0,0,0.0288461538461538,0,0
"Brian",0,0.0196078431372549,0,0.0288461538461538,0,0.0338983050847458
"Brian ",0.25,0.0980392156862745,0,0.125,0,0
"Carol",0,0,0,0.00961538461538462,0,0
"Caroline",0,0.0980392156862745,0,0.144230769230769,0,0.0338983050847458
"Caroline ",0,0.0196078431372549,0,0.00961538461538462,0,0
"Irene",0,0,0,0,0,0.0847457627118644
"Irene ",0,0.0588235294117647,0,0.0865384615384615,0,0.101694915254237
"Jackie",0,0.0392156862745098,0,0.173076923076923,0.105263157894737,0.0169491525423729
"Jackie ",0,0.0196078431372549,0,0,0,0.0169491525423729
"John",0,0.176470588235294,0,0.0961538461538462,0.157894736842105,0.0338983050847458
"Kica",0,0.0196078431372549,0,0.0769230769230769,0,0.101694915254237
"Kica ",0,0.0392156862745098,0,0.00961538461538462,0,0.101694915254237
"Lucy",0.25,0,0.666666666666667,0,0.315789473684211,0.0338983050847458
"Lucy ",0.5,0,0.333333333333333,0,0.263157894736842,0.101694915254237
"Violet  Biingi",0,0.0588235294117647,0,0.0192307692307692,0,0
"Violet  Biingi ",0,0,0,0,0,0.0169491525423729
"Violet Biingi",0,0.0784313725490196,0,0.0384615384615385,0,0.0338983050847458
"Violet Biingi ",0,0.0392156862745098,0,0.0288461538461538,0,0.0508474576271186
"Wanda",0,0.0196078431372549,0,0.00961538461538462,0,0.0338983050847458
"Wanda ",0,0.0392156862745098,0,0.0480769230769231,0.157894736842105,0.0677966101694915
"Wanda Godfrey owor",0,0,0,0,0,0.0338983050847458
