"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"borrow_food",0,0,0,0.0192307692307692,0.0526315789473684,0.0508474576271186
"buy_cheaper_food",0,0.0980392156862745,0,0.173076923076923,0.157894736842105,0.288135593220339
"buy_cheaper_food limit_meal_size",0,0.117647058823529,0,0.105769230769231,0,0.0338983050847458
"buy_cheaper_food limit_meal_size borrow_food",0,0.0196078431372549,0,0,0,0
"buy_cheaper_food limit_meal_size only_children_eat skip_days",0,0,0,0.00961538461538462,0,0
"buy_cheaper_food limit_meal_size reduce_meal_number",0,0,0,0.00961538461538462,0.0526315789473684,0.0169491525423729
"buy_cheaper_food only_children_eat other",0,0,0,0,0,0.0169491525423729
"buy_cheaper_food reduce_meal_number",0,0.0392156862745098,0,0.0288461538461538,0,0.0338983050847458
"exchange_food",0,0,0,0,0,0.0338983050847458
"limit_meal_size",0.25,0.254901960784314,0.333333333333333,0.240384615384615,0.210526315789474,0.135593220338983
"limit_meal_size borrow_food",0,0,0,0.00961538461538462,0,0
"limit_meal_size reduce_meal_number",0,0,0,0.00961538461538462,0,0.0338983050847458
"no_answer",0,0,0,0.00961538461538462,0,0.0169491525423729
"none",0.75,0.215686274509804,0.666666666666667,0.269230769230769,0.526315789473684,0.186440677966102
"only_children_eat",0,0,0,0.00961538461538462,0,0.0508474576271186
"other",0,0.0196078431372549,0,0.0192307692307692,0,0
"reduce_meal_number",0,0.176470588235294,0,0.0769230769230769,0,0.0847457627118644
"reduce_meal_number borrow_food",0,0.0196078431372549,0,0,0,0
"reduce_meal_number skip_days",0,0.0196078431372549,0,0,0,0
"reduce_meal_number skip_days borrow_food",0,0,0,0.00961538461538462,0,0
"skip_days",0,0.0196078431372549,0,0,0,0.0169491525423729
