"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",1,0.92156862745098,1,0.884615384615385,1,0.932203389830508
" General body health",0,0,0,0,0,0.0169491525423729
"1",0,0,0,0.00961538461538462,0,0
"Attack  by evil  spirit and sinus ",0,0,0,0.00961538461538462,0,0
"Attack by evil spirit",0,0.0196078431372549,0,0,0,0
"Cough, flu",0,0,0,0.00961538461538462,0,0
"Coughs ",0,0.0196078431372549,0,0,0,0
"Diabetes",0,0,0,0.00961538461538462,0,0
"Digestive infections",0,0,0,0.00961538461538462,0,0
"Duodenal  ulcers ",0,0,0,0.00961538461538462,0,0
"Epilepsy",0,0.0196078431372549,0,0,0,0
"Evil spirits  always  attack  some  children ",0,0,0,0.00961538461538462,0,0
"Eye problems",0,0.0196078431372549,0,0,0,0
"Heart burn",0,0,0,0,0,0.0169491525423729
"Heart disease ",0,0,0,0.00961538461538462,0,0
"one member suffering from either stroke or paralysis ",0,0,0,0.00961538461538462,0,0
"Pararised heads",0,0,0,0.00961538461538462,0,0
"Stomachache ",0,0,0,0,0,0.0169491525423729
"There's a kid whose rectum protudes outward during defecation ",0,0,0,0.00961538461538462,0,0
"Typhoid",0,0,0,0.00961538461538462,0,0
"Typhoid, yellow fever, heartburn. ",0,0,0,0,0,0.0169491525423729
