"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",0,0.0588235294117647,0,0.0192307692307692,0.210526315789474,0.186440677966102
"2016-08-01",0,0,0,0.00961538461538462,0,0
"2016-11-01",0,0,0,0.00961538461538462,0,0
"2017-01-01",0,0.0196078431372549,0,0.00961538461538462,0.0526315789473684,0.0169491525423729
"2017-02-01",0,0.0784313725490196,0,0.0192307692307692,0,0
"2017-03-01",0,0,0.333333333333333,0.0384615384615385,0.105263157894737,0
"2017-04-01",0.5,0.0392156862745098,0,0.0384615384615385,0.105263157894737,0.0169491525423729
"2017-05-01",0,0.0588235294117647,0,0.0288461538461538,0.0526315789473684,0.0338983050847458
"2017-06-01",0,0,0,0.0480769230769231,0.0526315789473684,0
"2017-07-01",0,0,0.333333333333333,0.0192307692307692,0.0526315789473684,0.0338983050847458
"2017-08-01",0.25,0.0392156862745098,0,0.0192307692307692,0.0526315789473684,0.0847457627118644
"2017-09-01",0,0,0,0.00961538461538462,0.0526315789473684,0.0847457627118644
"2017-10-01",0,0.0588235294117647,0,0.0192307692307692,0,0.0508474576271186
"2017-11-01",0,0,0,0.0288461538461538,0,0.0677966101694915
"2017-12-01",0,0.0196078431372549,0.333333333333333,0.0480769230769231,0.0526315789473684,0.0677966101694915
"2018-01-01",0,0.0980392156862745,0,0.0384615384615385,0.0526315789473684,0.0847457627118644
"2018-02-01",0.25,0.0392156862745098,0,0.0384615384615385,0.105263157894737,0.0847457627118644
"2018-03-01",0,0.137254901960784,0,0.105769230769231,0,0.135593220338983
"2018-04-01",0,0.215686274509804,0,0.201923076923077,0.0526315789473684,0.0508474576271186
"2018-05-01",0,0.137254901960784,0,0.240384615384615,0,0
"2018-12-01",0,0,0,0.00961538461538462,0,0
