"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",0,0.568627450980392,0,0.5,0.157894736842105,0.491525423728814
"abduction early_marriage",0,0,0,0.00961538461538462,0,0
"attack_host",0,0.0392156862745098,0,0.0384615384615385,0.0526315789473684,0
"attack_host cattle_raid",0,0,0,0.00961538461538462,0,0
"attack_host cattle_raid early_marriage",0,0,0,0.00961538461538462,0,0
"attack_host cattle_raid other",0,0.0196078431372549,0,0.00961538461538462,0,0
"attack_host early_marriage",0.25,0,0,0,0,0
"attack_host harassment_host",0,0,0,0,0.0526315789473684,0.0169491525423729
"attack_host harassment_host early_marriage",0,0,0,0.00961538461538462,0,0
"attack_host harassment_host sexual_violence",0,0,0,0,0,0.0338983050847458
"attack_host other",0,0.0196078431372549,0,0.0192307692307692,0,0.0508474576271186
"attack_host sexual_violence abduction",0,0,0,0,0,0.0169491525423729
"attack_host sexual_violence early_marriage",0,0.0196078431372549,0,0.00961538461538462,0,0
"attack_host sexual_violence other",0,0,0,0,0.0526315789473684,0.0169491525423729
"cattle_raid",0.25,0.0196078431372549,1,0.0192307692307692,0.315789473684211,0.0677966101694915
"cattle_raid early_marriage",0,0,0,0.0192307692307692,0,0
"cattle_raid other",0,0,0,0.00961538461538462,0.0526315789473684,0.0338983050847458
"early_marriage",0,0,0,0.0288461538461538,0,0.0169491525423729
"early_marriage other",0,0,0,0.0192307692307692,0,0
"harassment_host",0,0.0196078431372549,0,0.0288461538461538,0,0.0169491525423729
"harassment_host abduction forced_recruitment",0,0,0,0.00961538461538462,0,0
"harassment_host early_marriage other",0,0,0,0.00961538461538462,0,0
"harassment_host sexual_violence",0,0.0196078431372549,0,0,0,0
"harassment_host sexual_violence early_marriage",0,0,0,0,0,0.0169491525423729
"harassment_host sexual_violence other",0,0,0,0,0,0.0169491525423729
"no_answer",0,0,0,0.0288461538461538,0,0
"none",0,0,0,0.00961538461538462,0.0526315789473684,0.0338983050847458
"other",0.5,0.235294117647059,0,0.134615384615385,0.210526315789474,0.152542372881356
"sexual_violence",0,0.0196078431372549,0,0,0.0526315789473684,0
"sexual_violence early_marriage",0,0,0,0.0192307692307692,0,0
"sexual_violence early_marriage other",0,0,0,0.0288461538461538,0,0.0169491525423729
"sexual_violence other",0,0.0196078431372549,0,0.0192307692307692,0,0
