"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",0.25,0,0,0,0,0.0169491525423729
"debt",0,0.117647058823529,0.333333333333333,0.153846153846154,0.0526315789473684,0.0169491525423729
"debt reduce_spending",0,0.0196078431372549,0,0,0,0
"debt sold_assistance",0,0.0196078431372549,0,0,0,0
"humanitarian_aid",0,0,0,0,0.0526315789473684,0
"none",0,0.0784313725490196,0,0.0576923076923077,0,0.152542372881356
"reduce_spending",0,0.0196078431372549,0,0.0192307692307692,0,0
"selling_assets",0.25,0.0784313725490196,0.666666666666667,0.0961538461538462,0.315789473684211,0.23728813559322
"selling_assets debt",0,0,0,0.00961538461538462,0,0
"selling_assets other",0,0,0,0,0,0.0169491525423729
"selling_assets reduce_spending",0,0,0,0.0192307692307692,0,0
"spent_savings",0.5,0.215686274509804,0,0.336538461538462,0.368421052631579,0.271186440677966
"spent_savings charitable_donations debt sold_assistance",0,0.0196078431372549,0,0,0,0
"spent_savings debt",0,0.0980392156862745,0,0.0480769230769231,0,0.0508474576271186
"spent_savings reduce_spending",0,0.0196078431372549,0,0,0,0
"spent_savings selling_assets",0,0.0588235294117647,0,0.0576923076923077,0,0.0169491525423729
"spent_savings selling_assets debt",0,0.0196078431372549,0,0,0,0
"spent_savings sold_assistance",0,0,0,0,0.0526315789473684,0
"spent_savings support_from_friends_relatives",0,0.0196078431372549,0,0.0288461538461538,0,0.0677966101694915
"spent_savings support_from_friends_relatives debt",0,0.0196078431372549,0,0,0.105263157894737,0
"spent_savings support_from_friends_relatives selling_assets",0,0.0392156862745098,0,0.0384615384615385,0,0
"support_from_friends_relatives",0,0.0784313725490196,0,0.0961538461538462,0.0526315789473684,0.152542372881356
"support_from_friends_relatives debt",0,0.0196078431372549,0,0.00961538461538462,0,0
"support_from_friends_relatives selling_assets",0,0.0588235294117647,0,0.00961538461538462,0,0
"support_from_friends_relatives selling_assets debt",0,0,0,0.0192307692307692,0,0
