"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"1",0.5,0.117647058823529,0.666666666666667,0.0288461538461538,0.157894736842105,0.0677966101694915
"2",0,0.0980392156862745,0.333333333333333,0.182692307692308,0.263157894736842,0.203389830508475
"3",0.5,0.176470588235294,0,0.163461538461538,0.421052631578947,0.23728813559322
"4",0,0.235294117647059,0,0.288461538461538,0.0526315789473684,0.11864406779661
"5",0,0.176470588235294,0,0.0865384615384615,0,0.11864406779661
"6",0,0.0588235294117647,0,0.115384615384615,0.0526315789473684,0.0847457627118644
"7",0,0.0196078431372549,0,0.0384615384615385,0,0.0508474576271186
"8",0,0.0784313725490196,0,0.0576923076923077,0,0.0677966101694915
"9",0,0,0,0.00961538461538462,0,0.0169491525423729
"10",0,0.0196078431372549,0,0.00961538461538462,0,0.0338983050847458
"11",0,0.0196078431372549,0,0.00961538461538462,0,0
"12",0,0,0,0.00961538461538462,0,0
"20",0,0,0,0,0.0526315789473684,0
