"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"bedding",0,0,0,0.0192307692307692,0.0526315789473684,0.0508474576271186
"bedding hygiene_items",0.25,0,0,0.00961538461538462,0,0
"bedding hygiene_items kitchen_tools",0,0.0392156862745098,0,0.0192307692307692,0,0.0847457627118644
"bedding hygiene_items other",0,0.0196078431372549,0,0,0,0
"bedding hygiene_items sanitary_pads",0,0.0392156862745098,0,0.0384615384615385,0,0
"bedding hygiene_items water_storage",0,0.0784313725490196,0,0.0288461538461538,0.105263157894737,0.0677966101694915
"bedding kitchen_tools",0.25,0.0392156862745098,0,0.00961538461538462,0.0526315789473684,0.0169491525423729
"bedding kitchen_tools sanitary_pads",0,0.0196078431372549,0,0.0288461538461538,0,0.0677966101694915
"bedding mosquito_nets",0,0,0,0.0192307692307692,0,0
"bedding mosquito_nets hygiene_items",0,0,0,0.0192307692307692,0,0.0169491525423729
"bedding mosquito_nets kitchen_tools",0,0.0196078431372549,0,0.0192307692307692,0,0
"bedding mosquito_nets other",0,0.0196078431372549,0,0.00961538461538462,0,0
"bedding mosquito_nets sanitary_pads",0,0,0,0.0192307692307692,0,0.101694915254237
"bedding mosquito_nets water_storage",0,0.0392156862745098,0,0.0673076923076923,0.0526315789473684,0.0847457627118644
"bedding other",0,0.0784313725490196,0,0,0,0
"bedding sanitary_pads",0,0,0,0.0192307692307692,0,0.0338983050847458
"bedding sanitary_pads other",0,0,0,0,0,0.0338983050847458
"bedding water_storage",0,0.0980392156862745,0,0.0288461538461538,0.105263157894737,0.0169491525423729
"bedding water_storage kitchen_tools",0.25,0.176470588235294,0,0.182692307692308,0.157894736842105,0.169491525423729
"bedding water_storage other",0,0,0,0.0192307692307692,0,0
"bedding water_storage sanitary_pads",0,0.0588235294117647,0,0.0480769230769231,0.0526315789473684,0.0169491525423729
"hygiene_items",0,0,0,0,0.0526315789473684,0
"hygiene_items kitchen_tools",0,0,0.333333333333333,0.00961538461538462,0,0
"hygiene_items kitchen_tools sanitary_pads",0,0.0196078431372549,0,0.0288461538461538,0.0526315789473684,0
"hygiene_items sanitary_pads",0,0,0,0.00961538461538462,0,0
"hygiene_items water_storage",0,0,0.333333333333333,0,0,0
"hygiene_items water_storage kitchen_tools",0,0.0392156862745098,0,0.00961538461538462,0,0
"hygiene_items water_storage sanitary_pads",0,0,0,0.0192307692307692,0,0
"kitchen_tools",0,0,0,0.0192307692307692,0.0526315789473684,0
"kitchen_tools sanitary_pads",0,0,0,0.00961538461538462,0,0
"mosquito_nets",0,0,0,0,0,0.0169491525423729
"mosquito_nets hygiene_items kitchen_tools",0,0,0,0.00961538461538462,0,0
"mosquito_nets hygiene_items water_storage",0,0.0196078431372549,0,0,0,0
"mosquito_nets kitchen_tools other",0,0.0196078431372549,0,0,0,0
"mosquito_nets kitchen_tools sanitary_pads",0,0,0,0.00961538461538462,0,0
"mosquito_nets sanitary_pads",0,0,0,0.00961538461538462,0.0526315789473684,0
"mosquito_nets water_storage kitchen_tools",0,0,0,0.00961538461538462,0,0
"no_answer",0,0.0196078431372549,0,0.00961538461538462,0,0
"none",0,0,0,0.0192307692307692,0,0.0508474576271186
"other",0,0.0392156862745098,0,0.0384615384615385,0,0.101694915254237
"sanitary_pads",0,0.0196078431372549,0,0,0.0526315789473684,0.0169491525423729
"sanitary_pads other",0,0,0,0.00961538461538462,0,0
"water_storage",0,0.0392156862745098,0,0.00961538461538462,0,0.0338983050847458
"water_storage kitchen_tools",0,0,0.333333333333333,0.0576923076923077,0.0526315789473684,0.0169491525423729
"water_storage kitchen_tools other",0,0,0,0.00961538461538462,0,0
"water_storage kitchen_tools sanitary_pads",0.25,0.0196078431372549,0,0.0384615384615385,0.0526315789473684,0
"water_storage other",0,0,0,0.0288461538461538,0,0
"water_storage sanitary_pads",0,0.0392156862745098,0,0.0288461538461538,0.0526315789473684,0
