"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"borehole",0.25,0.0196078431372549,0,0.125,0.105263157894737,0.0338983050847458
"none",0.25,0.254901960784314,0.333333333333333,0.182692307692308,0.421052631578947,0.23728813559322
"other",0,0.0784313725490196,0,0.0384615384615385,0,0.0338983050847458
"protected_rainwater_tank",0,0,0,0.00961538461538462,0,0
"protected_spring",0,0,0,0,0.0526315789473684,0.0169491525423729
"protected_spring unprotected_well",0,0,0,0,0.0526315789473684,0
"protected_well",0,0.0196078431372549,0,0.0576923076923077,0,0.0847457627118644
"protected_well water_truck",0,0.0196078431372549,0,0,0,0
"surface_water",0,0.352941176470588,0.666666666666667,0.384615384615385,0.210526315789474,0.372881355932203
"surface_water other",0,0.0196078431372549,0,0,0,0
"surface_water water_truck",0,0,0,0.00961538461538462,0,0
"unprotected_rainwater_tank",0,0.0196078431372549,0,0,0.0526315789473684,0
"unprotected_spring",0,0,0,0.0288461538461538,0.0526315789473684,0.0677966101694915
"unprotected_spring surface_water",0,0,0,0.00961538461538462,0,0
"unprotected_well",0.5,0.196078431372549,0,0.0961538461538462,0,0.152542372881356
"unprotected_well surface_water",0,0,0,0.0192307692307692,0,0
"unprotected_well water_truck",0,0.0196078431372549,0,0.0288461538461538,0,0
"water_truck",0,0,0,0.00961538461538462,0.0526315789473684,0
