"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",0,0,0,0.326923076923077,0.157894736842105,0.101694915254237
"Alero-A",0,0,0,0,0,0.0338983050847458
"Alero a",0,0,0,0,0,0.0169491525423729
"Alero A",0,0,0,0,0,0.101694915254237
"Alro A",0,0,0,0,0,0.0508474576271186
"Chopeluo",0,0,0,0,0,0.0338983050847458
"Chopelwo",0,0,0,0,0,0.0677966101694915
"Chopelwor",0,0,0,0,0,0.0677966101694915
"Chopewor ",0,0,0,0,0,0.0338983050847458
"Dyang",0,0,0,0.0576923076923077,0,0
"Dyangi",0,0,0,0,0.157894736842105,0
"Dyangi ",0,0,0,0,0.0526315789473684,0
"Jeeja 2",0,0.0196078431372549,0,0,0,0
"Jeeja II",0,0.0588235294117647,0,0,0,0
"Jeja",0,0.0588235294117647,0,0,0,0
"Jeja-2",0,0.0588235294117647,0,0,0,0
"Jejja 2",0,0.0196078431372549,0,0,0,0
"Kaduku",0,0.0588235294117647,0,0,0,0
"Kaduku ",0,0.0392156862745098,0,0,0,0
"Kaduku 1",0,0.0784313725490196,1,0,0,0
"Kakoge",0,0,0,0.0288461538461538,0,0
"kakooge",0,0,0,0.00961538461538462,0,0
"Kakooge",0,0,0,0.0576923076923077,0,0
"Kakooge village",0,0,0,0.0192307692307692,0,0
"Kapundo",0,0,0,0.0673076923076923,0.210526315789474,0
"Kapundu",0,0,0,0.00961538461538462,0,0
"Karagalia",0,0,0,0.0192307692307692,0,0
"Karagalia ",0,0,0,0.00961538461538462,0,0
"Karagalya",0,0,0,0.0288461538461538,0,0
"Karaglya",0,0,0,0.00961538461538462,0,0
"Karaglya ",0,0,0,0.0192307692307692,0,0
"Kariagalya",0,0,0,0.00961538461538462,0,0
"Katamarwa",0,0.117647058823529,0,0,0,0
"Kikong village",0,0,0,0,0,0.0169491525423729
"Kikonge",0,0,0,0,0,0.0847457627118644
"Kiluli",0,0,0,0,0,0.0338983050847458
"Kirongoro",0,0,0,0.00961538461538462,0,0
"Kiruli",0,0,0,0,0,0.0169491525423729
"Kiruli ",0,0,0,0,0,0.0338983050847458
"Kiruuli",0,0,0,0,0,0.0169491525423729
"Kisoro soro",0,0,0,0,0.0526315789473684,0
"Kisororo",0,0,0,0,0.0526315789473684,0
"Kisorosoro",0,0,0,0.00961538461538462,0.315789473684211,0
"Kisweka",0.5,0,0,0.0865384615384615,0,0
"Kwenda 2",0,0.0588235294117647,0,0,0,0
"Kwenda2",0,0.0588235294117647,0,0,0,0
"Kyakibanga",0,0.0196078431372549,0,0,0,0
"Nanda",0.25,0,0,0,0,0.0169491525423729
"Nanda a",0,0,0,0,0,0.0169491525423729
"Nanda A",0,0,0,0,0,0.0508474576271186
"Nginga 2",0,0,0,0.00961538461538462,0,0
"Nyakibete 2",0,0.0588235294117647,0,0,0,0
"Nyakibete II",0,0.0392156862745098,0,0,0,0
"Nyama 2",0,0.0196078431372549,0,0,0,0
"Nyamuntende",0,0,0,0.0769230769230769,0,0
"Nyamuntende ",0,0,0,0.0384615384615385,0,0
"Nyinga",0,0,0,0.00961538461538462,0,0
"Nyinga 2",0,0,0,0.0192307692307692,0,0
"Nyinga 2 village",0,0,0,0.00961538461538462,0,0
"Nyinga II",0,0,0,0.0288461538461538,0,0
"Nyinga2 village",0,0,0,0.00961538461538462,0,0
"Popara",0,0,0,0,0,0.0169491525423729
"Popara east",0,0,0,0,0,0.0169491525423729
"Popara east ",0,0,0,0,0,0.0169491525423729
"Popara west",0,0,0,0,0,0.0169491525423729
"Popara west ",0,0,0,0,0,0.0508474576271186
"Popara West ",0,0,0,0,0,0.0169491525423729
"Popara West. ",0,0,0,0,0,0.0169491525423729
"Pupara East",0,0,0,0,0,0.0338983050847458
"Pupara East ",0,0,0,0,0,0.0169491525423729
"Rwamudopio",0,0.0588235294117647,0,0,0,0
"Rwamudopiyo",0,0.0588235294117647,0,0,0,0
"Rwamudopyo village",0,0.0392156862745098,0,0,0,0
"Rwsmudopyo village",0,0.0196078431372549,0,0,0,0
"Ryamutobyo",0,0.0196078431372549,0,0,0,0
"Ryomudobyo",0,0.0392156862745098,0,0,0,0
"Sabasaba",0,0,0,0.00961538461538462,0,0
"Sasaba",0,0,0,0.00961538461538462,0,0
"Tugo",0.25,0,0,0,0,0
