"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"1",0,0,0,0,0,0.101694915254237
"2",0,0,0,0,0,0.101694915254237
"5",0,0.117647058823529,0,0,0,0
"6",0,0.117647058823529,0,0,0,0
"7",0,0,0,0,0,0.101694915254237
"8",0,0,0,0,0,0.101694915254237
"11",0,0,0,0.0576923076923077,0,0
"12",0,0,0,0.0576923076923077,0,0
"13",0.25,0,0,0,0,0.0847457627118644
"14",0,0,0,0,0,0.101694915254237
"15",0,0.117647058823529,0,0,0,0
"16",0,0.117647058823529,0,0,0,0
"17",0,0,0,0,0,0.101694915254237
"18",0,0,0,0,0,0.101694915254237
"19",0,0.117647058823529,0,0,0,0
"20",0,0.0588235294117647,1,0,0,0
"25",0,0.117647058823529,0,0,0,0
"29",0,0,0,0.0576923076923077,0,0
"30",0,0,0,0.0576923076923077,0,0
"31",0,0,0,0.00961538461538462,0.263157894736842,0
"32",0,0,0,0,0.315789473684211,0
"33",0,0,0,0.0576923076923077,0,0
"34",0,0,0,0.0576923076923077,0,0
"37",0,0,0,0,0,0.101694915254237
"38",0,0,0,0,0,0.101694915254237
"101",0.75,0,0,0.0288461538461538,0,0
"102",0,0,0,0.0576923076923077,0,0
"103",0,0,0,0.0576923076923077,0,0
"104",0,0,0,0,0.210526315789474,0
"105",0,0,0,0.0192307692307692,0.157894736842105,0
"106",0,0,0,0.0576923076923077,0.0526315789473684,0
"107",0,0,0,0.0576923076923077,0,0
"108",0,0,0,0.0576923076923077,0,0
"109",0,0,0,0.0576923076923077,0,0
"110",0,0,0,0.0576923076923077,0,0
"111",0,0,0,0.0384615384615385,0,0
"112",0,0,0,0.0384615384615385,0,0
"113",0,0,0,0.0576923076923077,0,0
"114",0,0,0,0.0576923076923077,0,0
"125",0,0.117647058823529,0,0,0,0
"126",0,0.0588235294117647,0,0,0,0
"1026",0,0.0588235294117647,0,0,0,0
