"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"agriculture",0.5,0.509803921568627,0.666666666666667,0.490384615384615,0.684210526315789,0.677966101694915
"agriculture beekeeping",0,0,0,0,0,0.0169491525423729
"agriculture casual_labour",0,0.156862745098039,0,0.0480769230769231,0,0.0508474576271186
"agriculture casual_labour selling_natural_resources",0,0,0,0.0384615384615385,0,0
"agriculture fishery casual_labour",0,0,0,0.00961538461538462,0,0
"agriculture fishery selling_natural_resources",0,0,0,0.00961538461538462,0,0
"agriculture livestock",0.25,0.0392156862745098,0,0.0288461538461538,0,0.0338983050847458
"agriculture livestock casual_labour",0,0,0,0.0192307692307692,0.0526315789473684,0
"agriculture livestock fishery",0,0.0196078431372549,0,0.0192307692307692,0,0
"agriculture livestock remittance",0,0,0,0.00961538461538462,0,0
"agriculture livestock selling_natural_resources",0,0,0,0.00961538461538462,0,0
"agriculture livestock small_business",0,0.0196078431372549,0,0.0192307692307692,0,0.0508474576271186
"agriculture livestock trade",0,0,0,0.00961538461538462,0,0
"agriculture other",0,0,0,0.00961538461538462,0,0
"agriculture remittance casual_labour",0,0.0196078431372549,0,0,0,0.0169491525423729
"agriculture remittance small_business",0,0,0,0.00961538461538462,0,0
"agriculture salary",0,0.0784313725490196,0,0.0192307692307692,0.105263157894737,0.0169491525423729
"agriculture salary casual_labour",0,0,0,0,0,0.0169491525423729
"agriculture selling_natural_resources",0,0.0392156862745098,0,0.00961538461538462,0,0
"agriculture small_business",0.25,0.0392156862745098,0.333333333333333,0.144230769230769,0.105263157894737,0.0508474576271186
"agriculture small_business casual_labour",0,0.0196078431372549,0,0.0192307692307692,0.0526315789473684,0
"agriculture small_business selling_natural_resources",0,0,0,0.00961538461538462,0,0
"agriculture trade",0,0.0392156862745098,0,0.0192307692307692,0,0
"agriculture trade small_business",0,0,0,0.00961538461538462,0,0
"casual_labour",0,0,0,0.0192307692307692,0,0.0169491525423729
"livestock",0,0,0,0,0,0.0169491525423729
"salary",0,0,0,0,0,0.0169491525423729
"selling_natural_resources",0,0,0,0,0,0.0169491525423729
"small_business",0,0,0,0.00961538461538462,0,0
"small_business casual_labour",0,0,0,0.00961538461538462,0,0
"small_business casual_labour selling_natural_resources",0,0.0196078431372549,0,0,0,0
