"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",0,0.450980392156863,0,0.5,0.473684210526316,0.610169491525424
"disabled other",0,0.0196078431372549,0,0,0,0
"early_marriage",0,0.0196078431372549,0,0.0192307692307692,0,0
"early_marriage disabled school_too_far",0,0.0196078431372549,0,0,0,0
"early_marriage school_too_far",0,0,0,0.00961538461538462,0,0
"extensive_absences",0,0,0,0.00961538461538462,0,0
"high_cost",0.5,0.235294117647059,0,0.0576923076923077,0.105263157894737,0.0338983050847458
"high_cost disabled early_marriage",0,0,0,0.00961538461538462,0,0
"high_cost early_marriage",0,0.0196078431372549,0,0,0,0
"high_cost lack_space school_too_far",0,0,0,0.00961538461538462,0,0
"high_cost other",0,0.0196078431372549,0,0,0,0
"high_cost poor_condition",0,0.0196078431372549,0,0,0,0
"high_cost relocation school_too_far",0,0,0,0.00961538461538462,0,0
"high_cost school_too_far",0,0.0392156862745098,0,0.0865384615384615,0,0.0508474576271186
"high_cost school_too_far no_transport",0,0,0,0.00961538461538462,0,0
"high_cost school_too_far other",0,0,0,0.00961538461538462,0,0
"high_cost school_too_far too_young",0,0,0,0.00961538461538462,0,0
"high_cost too_young",0,0.0196078431372549,0,0.00961538461538462,0,0.0508474576271186
"household_chores",0,0,0,0,0,0.0338983050847458
"household_chores school_too_far other",0,0,0,0.00961538461538462,0,0
"household_chores working",0,0,0,0.00961538461538462,0,0
"insecurity",0,0,0,0.00961538461538462,0,0
"lack_space",0,0,0,0,0,0.0169491525423729
"new_arrival",0,0,0,0,0.0526315789473684,0.0169491525423729
"none",0,0.0196078431372549,0,0.0192307692307692,0,0.0169491525423729
"other",0,0.0196078431372549,1,0.00961538461538462,0.157894736842105,0.0338983050847458
"poor_condition",0,0,0,0.00961538461538462,0,0
"relocation",0,0,0,0.00961538461538462,0,0
"relocation too_young",0,0,0,0.00961538461538462,0,0
"school_too_far",0,0.0196078431372549,0,0.0673076923076923,0,0.0508474576271186
"school_too_far other",0,0,0,0.0192307692307692,0,0
"school_too_far too_young",0,0,0,0,0,0.0169491525423729
"too_young",0.5,0.0784313725490196,0,0.0673076923076923,0.157894736842105,0.0677966101694915
"too_young other",0,0,0,0,0.0526315789473684,0
"working",0,0,0,0.00961538461538462,0,0
