"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",1,0.941176470588235,0,0.951923076923077,0.789473684210526,0.966101694915254
"Can't be taken to school because they are disabled (can't speak)",0,0.0196078431372549,0,0,0,0
"Cost of living is high
Since I have a child with epilepsy",0,0.0196078431372549,0,0,0,0
"Disability ",0,0,0,0,0,0.0169491525423729
"Evictions from area of residence so not certain of next relocation",0,0,0,0.00961538461538462,0,0
"Has no knowledge in class ",0,0,0,0.00961538461538462,0,0
"He refused to study ",0,0,0,0,0.0526315789473684,0
"Just a worker",0,0,0.333333333333333,0,0,0
"Land evictions from areas of residence so not bothering to take children to school ",0,0,0,0.00961538461538462,0,0
"Land evictions from areas of residence so not certain of next relocation ",0,0,0,0.00961538461538462,0,0
"Married there",0,0,0.333333333333333,0,0,0
"Married there ",0,0,0.333333333333333,0,0,0
"one of the children deliberately refused to school because of age",0,0.0196078431372549,0,0,0,0
"She just left ",0,0,0,0,0.0526315789473684,0
"She left alone",0,0,0,0,0.0526315789473684,0
"Sickness ",0,0,0,0.00961538461538462,0,0
"They are still young",0,0,0,0,0.0526315789473684,0
"Usable to pay school fees. ",0,0,0,0,0,0.0169491525423729
