"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",0.5,0.647058823529412,1,0.788461538461538,0.894736842105263,0.864406779661017
"books bag uniform transportation",0,0,0,0.00961538461538462,0,0
"books tuition",0,0,0,0.0288461538461538,0,0
"books tuition transportation",0,0.0196078431372549,0,0.00961538461538462,0,0
"books tuition uniform",0.25,0.0784313725490196,0,0,0,0.0169491525423729
"books tuition uniform food",0,0.0196078431372549,0,0,0,0
"books tuition uniform transportation",0,0,0,0.0192307692307692,0,0
"books tuition uniform transportation food",0,0,0,0.0192307692307692,0,0
"books uniform transportation",0,0,0,0,0,0.0169491525423729
"books writing_materials bag tuition uniform",0,0.0196078431372549,0,0,0,0
"books writing_materials bag tuition uniform food",0,0.0196078431372549,0,0,0,0
"books writing_materials tuition",0,0,0,0.00961538461538462,0,0
"books writing_materials tuition uniform",0,0.137254901960784,0,0.0384615384615385,0,0.0169491525423729
"books writing_materials tuition uniform food",0,0.0588235294117647,0,0.00961538461538462,0,0
"books writing_materials tuition uniform food other",0,0,0,0.00961538461538462,0,0
"books writing_materials tuition uniform transportation",0,0,0,0.00961538461538462,0,0
"books writing_materials uniform food",0,0,0,0.00961538461538462,0,0
"tuition",0.25,0,0,0,0.105263157894737,0.0508474576271186
"tuition transportation",0,0,0,0.00961538461538462,0,0
"tuition uniform",0,0,0,0,0,0.0169491525423729
"writing_materials tuition uniform",0,0,0,0.0192307692307692,0,0.0169491525423729
"writing_materials tuition uniform transportation",0,0,0,0.00961538461538462,0,0
