"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"community_group",0,0.137254901960784,0,0.163461538461538,0,0.135593220338983
"local_government",0.25,0.215686274509804,0.333333333333333,0.269230769230769,0.210526315789474,0.23728813559322
"local_government community_group",0,0.0784313725490196,0,0.00961538461538462,0,0.0677966101694915
"none",0,0.0196078431372549,0,0,0.0526315789473684,0
"opm",0,0.0196078431372549,0,0,0,0
"police",0.5,0.0588235294117647,0,0.0865384615384615,0.105263157894737,0.135593220338983
"police community_group",0,0.0392156862745098,0,0,0,0.0847457627118644
"police local_government",0.25,0.196078431372549,0.666666666666667,0.230769230769231,0.526315789473684,0.169491525423729
"police local_government community_group",0,0.235294117647059,0,0.230769230769231,0.105263157894737,0.152542372881356
"police local_government opm",0,0,0,0,0,0.0169491525423729
"police local_government other",0,0,0,0.00961538461538462,0,0
