"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",0.25,0.372549019607843,0.333333333333333,0.403846153846154,0.526315789473684,0.542372881355932
"drugs_cost",0,0.0196078431372549,0,0.0192307692307692,0,0.0169491525423729
"drugs_cost lack_drugs_hc",0,0.0196078431372549,0,0.0480769230769231,0.0526315789473684,0.0338983050847458
"drugs_cost lack_drugs_hc no_transport",0,0,0,0.0192307692307692,0,0
"drugs_cost no_transport",0,0,0,0.00961538461538462,0,0.0169491525423729
"healthcare_cost",0.25,0.0784313725490196,0.666666666666667,0.105769230769231,0,0.0847457627118644
"healthcare_cost drugs_cost",0,0,0,0.0288461538461538,0,0.0508474576271186
"healthcare_cost drugs_cost lack_drugs_hc",0,0.0196078431372549,0,0.00961538461538462,0,0
"healthcare_cost drugs_cost no_support_family",0,0,0,0,0,0.0169491525423729
"healthcare_cost drugs_cost no_transport",0,0.0196078431372549,0,0.00961538461538462,0,0
"healthcare_cost lack_drugs_hc",0,0.0196078431372549,0,0.0288461538461538,0,0
"healthcare_cost lack_drugs_hc no_transport",0,0,0,0.00961538461538462,0,0
"healthcare_cost no_transport",0,0,0,0.0192307692307692,0,0
"healthcare_cost no_transport no_health_referral",0,0,0,0,0,0.0169491525423729
"healthcare_cost refused_treatment",0,0,0,0.00961538461538462,0,0
"healthcare_cost unqualified_staff_hosp",0,0,0,0,0,0.0169491525423729
"healthcare_cost unqualified_staff_hosp drugs_cost",0,0.0196078431372549,0,0,0,0
"healthcare_cost unqualified_staff_hosp lack_drugs_hc",0,0,0,0.00961538461538462,0,0
"lack_drugs_hc",0.5,0.215686274509804,0,0.0961538461538462,0.263157894736842,0.101694915254237
"lack_drugs_hc no_transport",0,0.0588235294117647,0,0.0192307692307692,0,0
"lack_drugs_hc no_transport no_health_referral",0,0,0,0.00961538461538462,0,0
"lack_drugs_pharmacy",0,0,0,0.00961538461538462,0,0
"lack_drugs_pharmacy no_transport",0,0.0196078431372549,0,0,0,0
"language_barrier lack_drugs_hc no_transport",0,0.0196078431372549,0,0,0,0
"no_answer",0,0,0,0,0.0526315789473684,0
"no_health_referral",0,0.0196078431372549,0,0,0,0
"no_offered_treatment_phc",0,0,0,0.00961538461538462,0,0
"no_transport",0,0.0588235294117647,0,0.0961538461538462,0.0526315789473684,0.0338983050847458
"none",0,0,0,0.00961538461538462,0,0
"refused_treatment",0,0.0196078431372549,0,0,0,0.0169491525423729
"refused_treatment lack_drugs_hc no_transport",0,0,0,0,0,0.0169491525423729
"refused_treatment no_health_referral",0,0,0,0,0,0.0169491525423729
"unqualified_staff_hosp",0,0,0,0.00961538461538462,0.0526315789473684,0
"unqualified_staff_hosp drugs_cost refused_treatment",0,0,0,0,0,0.0169491525423729
"unqualified_staff_hosp lack_drugs_hc",0,0.0196078431372549,0,0.00961538461538462,0,0
