"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"",0.75,0.588235294117647,0.333333333333333,0.634615384615385,0.684210526315789,0.694915254237288
"further_water_point",0,0.215686274509804,0,0.134615384615385,0.105263157894737,0.0338983050847458
"further_water_point use_non_drinking_water",0,0,0,0.00961538461538462,0,0
"none",0,0.0196078431372549,0,0.0384615384615385,0,0
"reduce_bathing",0.25,0.0784313725490196,0.333333333333333,0.0865384615384615,0.210526315789474,0.0508474576271186
"reduce_bathing further_water_point",0,0.0588235294117647,0,0.0288461538461538,0,0.101694915254237
"reduce_bathing other",0,0,0,0.00961538461538462,0,0
"reduce_bathing spend_money further_water_point",0,0,0,0.0192307692307692,0,0
"reduce_bathing use_non_drinking_water",0,0,0,0.00961538461538462,0,0
"reduce_drinking",0,0,0,0,0,0.0677966101694915
"reduce_drinking reduce_bathing",0,0,0,0.00961538461538462,0,0
"spend_money",0,0.0392156862745098,0.333333333333333,0.0192307692307692,0,0.0508474576271186
