"","bweyale_tc","kigumba","kigumba_tc","kiryandongo","kiryandongo_tc","mutunda"
"2",0,0,0,0,0,0.0508474576271186
"6",0,0,0,0,0,0.0169491525423729
"10",0,0,0,0,0,0.0169491525423729
"15",0,0,0,0,0,0.0169491525423729
"40",0,0.0196078431372549,0,0.0480769230769231,0,0.0169491525423729
"48",0,0.0196078431372549,0,0,0,0
"50",0.25,0,0,0.0192307692307692,0.157894736842105,0.0169491525423729
"55",0,0.0196078431372549,0,0,0,0
"60",0.25,0.0588235294117647,0.333333333333333,0.0576923076923077,0,0.0847457627118644
"65",0,0,0,0,0,0.0169491525423729
"66",0,0,0,0.00961538461538462,0,0
"80",0,0.0980392156862745,0,0.144230769230769,0.0526315789473684,0.101694915254237
"85",0,0.0196078431372549,0,0,0.0526315789473684,0
"90",0,0.0196078431372549,0,0.00961538461538462,0.0526315789473684,0.0169491525423729
"100",0,0.137254901960784,0,0.0480769230769231,0.0526315789473684,0.0677966101694915
"105",0.25,0,0,0,0.0526315789473684,0
"110",0,0.0392156862745098,0,0.0384615384615385,0.0526315789473684,0.0169491525423729
"120",0.25,0.137254901960784,0,0.115384615384615,0.157894736842105,0.135593220338983
"125",0,0,0,0.00961538461538462,0,0
"130",0,0,0,0.00961538461538462,0,0.0169491525423729
"140",0,0,0,0.0673076923076923,0.105263157894737,0.0847457627118644
"146",0,0.0196078431372549,0,0,0,0
"150",0,0.0392156862745098,0,0.0192307692307692,0,0
"160",0,0.0980392156862745,0.333333333333333,0.0865384615384615,0.0526315789473684,0.0338983050847458
"165",0,0,0,0.00961538461538462,0,0
"170",0,0.0196078431372549,0,0.00961538461538462,0,0.0169491525423729
"175",0,0,0,0,0,0.0338983050847458
"178",0,0.0196078431372549,0,0,0,0
"180",0,0.0980392156862745,0,0.0384615384615385,0,0.0338983050847458
"183",0,0,0,0.00961538461538462,0,0
"192",0,0,0,0.00961538461538462,0,0
"195",0,0.0196078431372549,0,0,0.0526315789473684,0
"200",0,0.0392156862745098,0.333333333333333,0.0576923076923077,0,0.0338983050847458
"210",0,0,0,0.00961538461538462,0,0
"220",0,0,0,0.0192307692307692,0.0526315789473684,0.0169491525423729
"240",0,0.0392156862745098,0,0.0769230769230769,0.0526315789473684,0.0677966101694915
"255",0,0,0,0,0,0.0169491525423729
"260",0,0,0,0.0192307692307692,0,0
"280",0,0,0,0.00961538461538462,0,0
"290",0,0,0,0,0,0.0169491525423729
"300",0,0,0,0.00961538461538462,0,0.0169491525423729
"320",0,0.0196078431372549,0,0.00961538461538462,0,0.0169491525423729
"350",0,0.0196078431372549,0,0,0,0
"360",0,0,0,0.00961538461538462,0,0
"400",0,0,0,0,0,0.0169491525423729
"410",0,0,0,0.00961538461538462,0,0
"480",0,0,0,0.00961538461538462,0,0
"800",0,0,0,0,0.0526315789473684,0
