"","V1"
"1","start"
"2","end"
"3","deviceid"
"4","note1"
"5","enum"
"6","state"
"7","lga"
"8","ward"
"9","village"
"10","cluster"
"11","group"
"12","status.group"
"13","check2"
"14","consent"
"15","interview.enter1"
"16","gps"
"17","hoh"
"18","needs.answer"
"19","age.resp"
"20","note.1"
"21","interview.enter2"
"22","sex.resp"
"23","sex.hoh"
"24","age.hoh"
"25","marital.hoh"
"26","language.hh"
"27","language.other"
"28","tribe"
"29","tribe.other"
"30","num.hh"
"31","notehhmembers"
"32","hh.members"
"33","theloopcount"
"34","name.hh"
"35","sex.hh"
"36","age.hh"
"37","age.hh.months"
"38","agegrp.0.5"
"39","agegrp.0.6m"
"40","agegrp.6m.5"
"41","agegrp.9m.10"
"42","agegrp.3.18"
"43","agegrp.0.18"
"44","calc.eligible.0.6m"
"45","calc.eligible.0.5"
"46","calc.eligible.6m.5"
"47","calc.eligible.9m.10"
"48","calc.eligible.3.18"
"49","calc.eligible.0.18"
"50","eligible.0.6m"
"51","bf.ever"
"52","bf.yesterday"
"53","bf.yesterdayother"
"54","bf.substitute"
"55","bf.liquid"
"56","bf.foods"
"57","eligible.0.6m"
"58","eligible.6m.5"
"59","present"
"60","muac"
"61","oedema"
"62","otp"
"63","referral"
"64","eligible.6m.5"
"65","ask.vaccine.card"
"66","eligble.9m.10"
"67","measles"
"68","measles.quant"
"69","eligble.9m.10"
"70","eligible.0.5"
"71","penta"
"72","penta.quant"
"73","polio"
"74","polio.quant"
"75","eligible.0.5"
"76","eligible.3.18"
"77","formal.schl.stat"
"78","formal.schl.stat.other"
"79","informal.schl.stat"
"80","informal.schl.stat.other"
"81","eligible.3.18"
"82","hh.members"
"83","agegrp.0.5.sum"
"84","agegrp.0.6m.sum"
"85","agegrp.6m.5.sum"
"86","agegrp.9m.10.sum"
"87","agegrp.3.18.sum"
"88","agegrp.0.18.sum"
"89",""
"90","vulnerability.hh"
"91","vulnerability.hh.other"
"92","movement.intentions"
"93","aoo.state"
"94","aoo.lga"
"95","aoo.ward"
"96","aoo.settlement"
"97","access.yn"
"98","access.aoo"
"99","access.aoo.why"
"100","access.aoo.why.other"
"101","access.aoo.barrier"
"102","access.aoo.barrier.other"
"103","move.plans"
"104","move.plans.when"
"105","move.plans.where"
"106","move.plans.where.other"
"107","push.firstreason"
"108","push.firstreason.other"
"109","pull.firstreason"
"110","pull.firstreason.other"
"111","stay.firstreason"
"112","stay.firstreason.other"
"113","movement.intentions"
"114","wash"
"115","washnote"
"116","water.enough"
"117","water.source.main"
"118","water.source.main.other"
"119","water.pay.main"
"120","num.containers"
"121","container"
"122","volume.ct"
"123","num.filled.ct"
"124","cost.fill.ct"
"125","container"
"126","quality.water"
"127","quality.water.type"
"128","quality.water.type.other"
"129","coping.water"
"130","coping.water.other"
"131","fetch.prob.main"
"132","fetch.prob.main.other"
"133","total.time"
"134","travel.time"
"135","queue.time"
"136","has.soap"
"137","treat.water.yn"
"138","treat.water.yn.other"
"139","treatment.water"
"140","treatment.water.other"
"141","access.latrine"
