"","names.questionnaire.choices_per_variable..x.","list_name","name","label..english","label..somali","country","area","district","region","choice"
"742","end","why_not_attend","emergency","Result of an emergency (conflict, drought, flood, eviction, etc.)","Sabab ka dhalatay xaalada deg dega ah (colaad, abaar, fatahaad, dhul ka saarid, iwm)","","","","",""
"743","end","why_not_attend","fees","Unable to pay school fees","Aan bixin karin qarashka iskuulka","","","","",""
"744","end","why_not_attend","chores","Domestic chores","Howsha guriga","","","","",""
"745","end","why_not_attend","age","Children too young to attend school","Da'da","","","","",""
"746","end","why_not_attend","distance","School is too far","Iskuulka oo aad u fog","","","","",""
"747","end","why_not_attend","no_school","No open school in the area","Iskuul furan oo aan jirin","","","","",""
"748","end","why_not_attend","overcrowding","Overcrowded classes","Fasalo buux dhaafay","","","","",""
"749","end","why_not_attend","teaching_quality","Quality of teaching is low","Tayada wax barista","","","","",""
"750","end","why_not_attend","labour","Need to work","U baahan shaqo","","","","",""
"751","end","why_not_attend","violence_on_the_way","Fear of violence on the way to school","Cabsi laga qabo qalalaaso ka dhacda wadada iskuulka","","","","",""
"752","end","why_not_attend","violence_at_school","Fear of violence at school","Cabsi laga qabo inay ka dhacdo iskuulka","","","","",""
"753","end","why_not_attend","no_gendered_facilities","Lack of gendered facilities","Alaab gabdhaha iyo wiilasha loogu talo galay oo aan jirin","","","","",""
"754","end","why_not_attend","lack_wash_facilities","Lack of proper WASH facilities","Xarumaha biyaha , faydhowrka iyo nadaafada haboon oo aan jirin","","","","",""
"755","end","why_not_attend","other","Other","Wax Kale","","","","",""
"756","end","why_not_attend","dontknow","I don't know or don’t want to answer","Ma garanayo ama ma doonayo inaan ka jawaabo","","","","",""
"109","consensus_note","yes_no","yes","Yes","Haa","","","","",""
"110","consensus_note","yes_no","no","No","Maya","","","","",""
"1","region","region","lower_juba","Lower Juba","Jubadda Hoose","","","","",""
"2","region","region","awdal","Awdal","Awdal","","","","",""
"3","region","region","bakool","Bakool","Bakool","","","","",""
"4","region","region","banadir","Banadir","Banadir","","","","",""
"5","region","region","bari","Bari","Bari","","","","",""
"6","region","region","bay","Bay","Bay","","","","",""
"7","region","region","galgaduud","Galgaduud","Galgaduud","","","","",""
"8","region","region","gedo","Gedo","Gedo","","","","",""
"9","region","region","hiraan","Hiraan","Hiraan","","","","",""
"10","region","region","lower_shabelle","Lower Shabelle","Shabellada Hoose","","","","",""
"11","region","region","middle_juba","Middle Juba","Jubadda Dhexe","","","","",""
"12","region","region","middle_shabelle","Middle Shabelle","Shabellada Dhexe","","","","",""
"13","region","region","mudug","Mudug","Mudug","","","","",""
"14","region","region","nugaal","Nugaal","Nugaal","","","","",""
"15","region","region","sanaag","Sanaag","Sanaag","","","","",""
"16","region","region","sool","Sool","Sool","","","","",""
"17","region","region","togdheer","Togdheer","Togdheer","","","","",""
"18","region","region","woqooyi_galbeed","Woqooyi Galbeed","Woqooyi Galbeed","","","","",""
"19","district","district","kismayo","Kismayo","Kismayo","","","","lower_juba",""
"20","district","district","baki","Baki","Baki","","","","awdal",""
"21","district","district","borama","Borama","Borama","","","","awdal",""
"22","district","district","lughaye","Lughaye","Lughaye","","","","awdal",""
"23","district","district","zeylac","Zeylac","Zeylac","","","","awdal",""
"24","district","district","ceel_barde","Ceel Barde","Ceel Barde","","","","bakool",""
"25","district","district","rab_dhuure","Rab Dhuure","Rab Dhuure","","","","bakool",""
"26","district","district","tayeeglow","Tayeeglow","Tayeeglow","","","","bakool",""
"27","district","district","waajid","Waajid","Waajid","","","","bakool",""
"28","district","district","xudur","Xudur","Xudur","","","","bakool",""
"29","district","district","mogadishu","Mogadishu","Mogadishu","","","","banadir",""
"30","district","district","mogadishu_boondheere","Mogadishu-Boondheere","Mogadishu-Boondheere","","","","banadir",""
"31","district","district","mogadishu_cabdulcasiis","Mogadishu-Cabdulcasiis","Mogadishu-Cabdulcasiis","","","","banadir",""
"32","district","district","mogadishu_daynile","Mogadishu-Daynile","Mogadishu-Daynile","","","","banadir",""
"33","district","district","mogadishu_dharkenley","Mogadishu-Dharkenley","Mogadishu-Dharkenley","","","","banadir",""
"34","district","district","mogadishu_hawl_wadaag","Mogadishu-Hawl Wadaag","Mogadishu-Hawl Wadaag","","","","banadir",""
"35","district","district","mogadishu_heliwa","Mogadishu-Heliwa","Mogadishu-Heliwa","","","","banadir",""
"36","district","district","mogadishu_hodan","Mogadishu-Hodan","Mogadishu-Hodan","","","","banadir",""
"37","district","district","mogadishu_karaan","Mogadishu-Karaan","Mogadishu-Karaan","","","","banadir",""
"38","district","district","mogadishu_shangaani","Mogadishu-Shangaani","Mogadishu-Shangaani","","","","banadir",""
"39","district","district","mogadishu_shibis","Mogadishu-Shibis","Mogadishu-Shibis","","","","banadir",""
"40","district","district","mogadishu_waaberi","Mogadishu-Waaberi","Mogadishu-Waaberi","","","","banadir",""
"41","district","district","mogadishu_wadajir","Mogadishu-Wadajir","Mogadishu-Wadajir","","","","banadir",""
"42","district","district","mogadishu_wardhiigleey","Mogadishu-Wardhiigleey","Mogadishu-Wardhiigleey","","","","banadir",""
"43","district","district","mogadishu_xamar_jabjab","Mogadishu-Xamar Jabjab","Mogadishu-Xamar Jabjab","","","","banadir",""
"44","district","district","mogadishu_xamar_weyne","Mogadishu-Xamar Weyne","Mogadishu-Xamar Weyne","","","","banadir",""
"45","district","district","mogadishu_yaaqshiid","Mogadishu-Yaaqshiid","Mogadishu-Yaaqshiid","","","","banadir",""
"46","district","district","bandarbayla","Bandarbayla","Bandarbayla","","","","bari",""
"47","district","district","bossaso","Bossaso","Bossaso","","","","bari",""
"48","district","district","caluula","Caluula","Caluula","","","","bari",""
"49","district","district","iskushuban","Iskushuban","Iskushuban","","","","bari",""
"50","district","district","qandala","Qandala","Qandala","","","","bari",""
"51","district","district","qardho","Qardho","Qardho","","","","bari",""
"52","district","district","baidoa","Baidoa","Baidoa","","","","bay",""
"53","district","district","buur_hakaba","Buur Hakaba","Buur Hakaba","","","","bay",""
"54","district","district","diinsoor","Diinsoor","Diinsoor","","","","bay",""
"55","district","district","qansax_dheere","Qansax Dheere","Qansax Dheere","","","","bay",""
"56","district","district","cabudwaaq","Cabudwaaq","Cabudwaaq","","","","galgaduud",""
"57","district","district","cadaado","Cadaado","Cadaado","","","","galgaduud",""
"58","district","district","ceel_buur","Ceel Buur","Ceel Buur","","","","galgaduud",""
"59","district","district","ceel_dheer","Ceel Dheer","Ceel Dheer","","","","galgaduud",""
"60","district","district","dhuusamarreeb","Dhuusamarreeb","Dhuusamarreeb","","","","galgaduud",""
"61","district","district","baardheere","Baardheere","Baardheere","","","","gedo",""
"62","district","district","belet_xaawo","Belet Xaawo","Belet Xaawo","","","","gedo",""
"63","district","district","ceel_waaq","Ceel Waaq","Ceel Waaq","","","","gedo",""
"64","district","district","doolow","Doolow","Doolow","","","","gedo",""
"65","district","district","garbahaarey","Garbahaarey","Garbahaarey","","","","gedo",""
"66","district","district","luuq","Luuq","Luuq","","","","gedo",""
"67","district","district","belet_weyne","Belet Weyne","Belet Weyne","","","","hiraan",""
"68","district","district","bulo_burto","Bulo Burto","Bulo Burto","","","","hiraan",""
"69","district","district","jalalaqsi","Jalalaqsi","Jalalaqsi","","","","hiraan",""
"70","district","district","afmadow","Afmadow","Afmadow","","","","lower_juba",""
"71","district","district","badhaadhe","Badhaadhe","Badhaadhe","","","","lower_juba",""
"72","district","district","jamaame","Jamaame","Jamaame","","","","lower_juba",""
"73","district","district","afgooye","Afgooye","Afgooye","","","","lower_shabelle",""
"74","district","district","baraawe","Baraawe","Baraawe","","","","lower_shabelle",""
"75","district","district","kurtunwaarey","Kurtunwaarey","Kurtunwaarey","","","","lower_shabelle",""
"76","district","district","marka","Marka","Marka","","","","lower_shabelle",""
"77","district","district","qoryooley","Qoryooley","Qoryooley","","","","lower_shabelle",""
"78","district","district","sablaale","Sablaale","Sablaale","","","","lower_shabelle",""
"79","district","district","wanla_weyn","Wanla Weyn","Wanla Weyn","","","","lower_shabelle",""
"80","district","district","buaale","Buaale","Buaale","","","","middle_juba",""
"81","district","district","jilib","Jilib","Jilib","","","","middle_juba",""
"82","district","district","sakow","Sakow","Sakow","","","","middle_juba",""
"83","district","district","aden_yabaal","Aden Yabaal","Aden Yabaal","","","","middle_shabelle",""
"84","district","district","balcad","Balcad","Balcad","","","","middle_shabelle",""
"85","district","district","cadale","Cadale","Cadale","","","","middle_shabelle",""
"86","district","district","jowhar","Jowhar","Jowhar","","","","middle_shabelle",""
"87","district","district","gaalkacyo","Gaalkacyo","Gaalkacyo","","","","mudug",""
"88","district","district","galdogob","Galdogob","Galdogob","","","","mudug",""
"89","district","district","hobyo","Hobyo","Hobyo","","","","mudug",""
"90","district","district","jariiban","Jariiban","Jariiban","","","","mudug",""
"91","district","district","xarardheere","Xarardheere","Xarardheere","","","","mudug",""
"92","district","district","burtinle","Burtinle","Burtinle","","","","nugaal",""
"93","district","district","eyl","Eyl","Eyl","","","","nugaal",""
"94","district","district","garowe","Garowe","Garowe","","","","nugaal",""
"95","district","district","ceel_afweyn","Ceel Afweyn","Ceel Afweyn","","","","sanaag",""
"96","district","district","ceerigaabo","Ceerigaabo","Ceerigaabo","","","","sanaag",""
"97","district","district","laasqoray","Laasqoray","Laasqoray","","","","sanaag",""
"98","district","district","caynabo","Caynabo","Caynabo","","","","sool",""
"99","district","district","laas_caanood","Laas Caanood","Laas Caanood","","","","sool",""
"100","district","district","taleex","Taleex","Taleex","","","","sool",""
"101","district","district","xudun","Xudun","Xudun","","","","sool",""
"102","district","district","burco","Burco","Burco","","","","togdheer",""
"103","district","district","buuhoodle","Buuhoodle","Buuhoodle","","","","togdheer",""
"104","district","district","owdweyne","Owdweyne","Owdweyne","","","","togdheer",""
"105","district","district","sheikh","Sheikh","Sheikh","","","","togdheer",""
"106","district","district","berbera","Berbera","Berbera","","","","woqooyi_galbeed",""
"107","district","district","gebiley","Gebiley","Gebiley","","","","woqooyi_galbeed",""
"108","district","district","hargeysa","Hargeysa","Hargeysa","","","","woqooyi_galbeed",""
"1091","idp_settlement","yes_no","yes","Yes","Haa","","","","",""
"1101","idp_settlement","yes_no","no","No","Maya","","","","",""
"114","resp_gender","male_female","male","Male","Rag","","","","",""
"115","resp_gender","male_female","female","Female","Dumar","","","","",""
"116","resp_age","age","age12_17","Age 12-17","Da'da qofka u dhaxeysa 12 ilaa 17","","","","",""
"117","resp_age","age","age18_25","Age 18-25","Da'da qofka u dhaxeysa 18 ilaa 25","","","","",""
"118","resp_age","age","age26_30","Age 26-30","Da'da qofka u dhaxeysa 26 ilaa 30","","","","",""
"119","resp_age","age","age31_35","Age 31-35","Da'da qofka u dhaxeysa 31 ilaa 35","","","","",""
"120","resp_age","age","age36_40","Age 36-40","Da'da qofka u dhaxeysa 36 ilaa 40","","","","",""
"121","resp_age","age","age41_45","Age 41-45","Da'da qofka u dhaxeysa 41 ilaa 45","","","","",""
"122","resp_age","age","age46_50","Age 46-50","Da'da qofka u dhaxeysa 46 ilaa 50","","","","",""
"123","resp_age","age","age51_55","Age 51-55","Da'da qofka u dhaxeysa 51 ilaa 55","","","","",""
"124","resp_age","age","age56_59","Age 56-59","Da'da qofka u dhaxeysa 56 ilaa 59","","","","",""
"125","resp_age","age","age60_65","Age 60-65","Da'da qofka u dhaxeysa 60 ilaa 65","","","","",""
"126","resp_age","age","age66_70","Age 66-70","Da'da qofka u dhaxeysa 66 ilaa 70","","","","",""
"127","resp_age","age","age71_75","Age 71-75","Da'da qofka u dhaxeysa 71 ilaa 75","","","","",""
"128","resp_age","age","age76_80","Age 76-80","Da'da qofka u dhaxeysa 76 ilaa 80","","","","",""
"129","resp_age","age","age81_85","Age 81-85","Da'da qofka u dhaxeysa 81 ilaa 85","","","","",""
"130","resp_age","age","age86_90","Age 86-90","Da'da qofka u dhaxeysa 86 ilaa 90","","","","",""
"131","resp_age","age","age91_95","Age 91-95","Da'da qofka u dhaxeysa 91 ilaa 95","","","","",""
"132","resp_age","age","age96_100","Age 96-100","Da'da qofka u dhaxeysa 96 ilaa 100","","","","",""
"133","resp_age","age","age100+","Age 100+","Da'da qofka 100 ka wayn","","","","",""
"253","resp_age","water_storage","jerry_can","Jerry Cans","Jeriggaan","","","","",""
"254","resp_age","water_storage","water_tank","Water tank","Haanta biyaha","","","","",""
"255","resp_age","water_storage","water_gallon","Water gallon","3 ama 4 L qaad","","","","",""
"256","resp_age","water_storage","bucket_lid","Bucket with lid","Baaldi dabool leh","","","","",""
"257","resp_age","water_storage","bucket_no_lid","Bucket with no lid","Baaldi aan dabool laheyn","","","","",""
"258","resp_age","water_storage","plastic_bottle","Plastic bottle","Weelasha caaga ah","","","","",""
"259","resp_age","water_storage","other","Other","Kale","","","","",""
"585","resp_age","language","somali_standard","Standard/ Northern Somali","Lahjada reer waqooyiga","","","","",""
"586","resp_age","language","somali_benaadir","Benaadir Somali","Somali banaadiriga","","","","",""
"587","resp_age","language","somali_maay","Maay Somali","Luuqada maayga","","","","",""
"588","resp_age","language","arabic","Arabic","Carabi","","","","",""
"589","resp_age","language","english","English","Ingiriis","","","","",""
"590","resp_age","language","italian","Italian","Talyaani","","","","",""
"591","resp_age","language","bravanese","Bravanese (Chimwiini/ Chimbalazi)","Barwani","","","","",""
"592","resp_age","language","kibajuni","Kibajuni","Baajuunta","","","","",""
"593","resp_age","language","mushunguli","Mushunguli","Mushunguliga","","","","",""
"594","resp_age","language","somali_sign","Somali Sign Language","Midaaritaanka","","","","",""
"595","resp_age","language","none","None of the above","Midna maahan","","","","",""
"888","resp_age","shelter_damage","structural","Damage to structural material","Burbur dhismaha ah","","","","",""
"889","resp_age","shelter_damage","floor","Damage to floor","Burbur dhulka ah","","","","",""
"890","resp_age","shelter_damage","roof","Damage to roof","Burbur saqafka ah","","","","",""
"891","resp_age","shelter_damage","wall","Damage to wall material","Burbur darbiga ah","","","","",""
"892","resp_age","shelter_damage","total","Totally destroyed","Gabi ahaanba burbursan","","","","",""
"893","resp_age","shelter_damage","other","Other","Wax Kale","","","","",""
"673","breadwinner","breadwinner ","father","Father of household","Aabaha qoyska","","","","",""
"674","breadwinner","breadwinner ","mother","Mother of household ","Hooyada qosyka","","","","",""
"675","breadwinner","breadwinner ","adult_male","Adult male (aged 18+) other than father of the household","Qof rag ah (18 sano ama ka weyn) oo aan ahayn aabaha qoyska","","","","",""
"676","breadwinner","breadwinner ","adult_female","Adult female (aged 18+) other than mother of the household","Qof dumar ah (18 sano ama ka weyn) oo aan ahayn hooyada qoyska","","","","",""
"677","breadwinner","breadwinner ","male_14_17","Male child (aged 14-17)","Qof rag ah (14 ilaa 17 sano jir ah)","","","","",""
"678","breadwinner","breadwinner ","female_14_17","Female child (aged 14-17)","Qof dumar ah (14 ilaa 17 sano jir ah)","","","","",""
"679","breadwinner","breadwinner ","male_13","Male child (aged 13 or below)","Qof rag ah (13 sano ama ka yar)","","","","",""
"680","breadwinner","breadwinner ","female_13","Female child (aged 13 or below)","Qof dumar ah (13 sano ama ka yar)","","","","",""
"6731","household_expenditure","breadwinner ","father","Father of household","Aabaha qoyska","","","","",""
"6741","household_expenditure","breadwinner ","mother","Mother of household ","Hooyada qosyka","","","","",""
"6751","household_expenditure","breadwinner ","adult_male","Adult male (aged 18+) other than father of the household","Qof rag ah (18 sano ama ka weyn) oo aan ahayn aabaha qoyska","","","","",""
"6761","household_expenditure","breadwinner ","adult_female","Adult female (aged 18+) other than mother of the household","Qof dumar ah (18 sano ama ka weyn) oo aan ahayn hooyada qoyska","","","","",""
"6771","household_expenditure","breadwinner ","male_14_17","Male child (aged 14-17)","Qof rag ah (14 ilaa 17 sano jir ah)","","","","",""
"6781","household_expenditure","breadwinner ","female_14_17","Female child (aged 14-17)","Qof dumar ah (14 ilaa 17 sano jir ah)","","","","",""
"6791","household_expenditure","breadwinner ","male_13","Male child (aged 13 or below)","Qof rag ah (13 sano ama ka yar)","","","","",""
"6801","household_expenditure","breadwinner ","female_13","Female child (aged 13 or below)","Qof dumar ah (13 sano ama ka yar)","","","","",""
"1092","hh_ids","yes_no","yes","Yes","Haa","","","","",""
"1102","hh_ids","yes_no","no","No","Maya","","","","",""
"1093","hh_children","yes_no","yes","Yes","Haa","","","","",""
"1103","hh_children","yes_no","no","No","Maya","","","","",""
"1094","total_hh_confirm","yes_no","yes","Yes","Haa","","","","",""
"1104","total_hh_confirm","yes_no","no","No","Maya","","","","",""
"1095","yes_no_host","yes_no","yes","Yes","Haa","","","","",""
"1105","yes_no_host","yes_no","no","No","Maya","","","","",""
"1096","hosting_idp","yes_no","yes","Yes","Haa","","","","",""
"1106","hosting_idp","yes_no","no","No","Maya","","","","",""
"1097","yes_no_idp","yes_no","yes","Yes","Haa","","","","",""
"1107","yes_no_idp","yes_no","no","No","Maya","","","","",""
"1098","yes_no_returnee","yes_no","yes","Yes","Haa","","","","",""
"1108","yes_no_returnee","yes_no","no","No","Maya","","","","",""
"134","region_idp","region","lower_juba","Lower Juba","Jubadda Hoose","","","","",""
"250","region_idp","region","awdal","Awdal","Awdal","","","","",""
"355","region_idp","region","bakool","Bakool","Bakool","","","","",""
"410","region_idp","region","banadir","Banadir","Banadir","","","","",""
"525","region_idp","region","bari","Bari","Bari","","","","",""
"681","region_idp","region","bay","Bay","Bay","","","","",""
"757","region_idp","region","galgaduud","Galgaduud","Galgaduud","","","","",""
"847","region_idp","region","gedo","Gedo","Gedo","","","","",""
"937","region_idp","region","hiraan","Hiraan","Hiraan","","","","",""
"1010","region_idp","region","lower_shabelle","Lower Shabelle","Shabellada Hoose","","","","",""
"1110","region_idp","region","middle_juba","Middle Juba","Jubadda Dhexe","","","","",""
"1210","region_idp","region","middle_shabelle","Middle Shabelle","Shabellada Dhexe","","","","",""
"135","region_idp","region","mudug","Mudug","Mudug","","","","",""
"1410","region_idp","region","nugaal","Nugaal","Nugaal","","","","",""
"1510","region_idp","region","sanaag","Sanaag","Sanaag","","","","",""
"1610","region_idp","region","sool","Sool","Sool","","","","",""
"1710","region_idp","region","togdheer","Togdheer","Togdheer","","","","",""
"1810","region_idp","region","woqooyi_galbeed","Woqooyi Galbeed","Woqooyi Galbeed","","","","",""
"1910","district_idp","district","kismayo","Kismayo","Kismayo","","","","lower_juba",""
"2010","district_idp","district","baki","Baki","Baki","","","","awdal",""
"2110","district_idp","district","borama","Borama","Borama","","","","awdal",""
