,x
1,food.source
2,agricultural.production
3,crops.grown
4,crop.crisis
5,livestock.crisis
6,fish.crisis
7,access.mobile.network
8,eviction.reason
9,access.heating
10,reasons.noaccess.dropped.school
11,type.nonformal.education
12,water.treatment
13,toilet.type
14,waste.management
15,healthcare.criteria
16,reasons.nohealthaccess
17,pregnancy.consultedby
18,type.chronic.disease
19,service.access.issues
20,physical.disability.service.issues
21,obtaining.cash.challenges
22,barrier.marketplace
23,barrier.marketitem.expensive
24,barrier.marketitem.unavailable
25,financial.provider
26,coping.cash.reason
27,push.factors
28,no.return.reason
29,pull.factors
30,return.area.decision
31,problem.faced.return
32,lost.doc.types
33,lost.doc.impact
34,documentation.reason
35,leave.country.reasons
36,awareness.uxo.actions
37,awareness.source
38,modality.assistance
39,assistance.source
40,humanitarian.assistance.barriers
41,prefered.humanitarian.news
