"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max"
"Anbar","mcna_shelter_imm","governorate",NA,"Anbar",0.735776946254144,NA,0.701483730867094,0.770070161641194
"Babylon","mcna_shelter_imm","governorate",NA,"Babylon",0.405450041288192,NA,0.347443093837823,0.46345698873856
"Baghdad","mcna_shelter_imm","governorate",NA,"Baghdad",0.483476241514827,NA,0.435621671766942,0.531330811262712
"Dahuk","mcna_shelter_imm","governorate",NA,"Dahuk",0.209136946449736,NA,0.159112769639779,0.259161123259693
"Diyala","mcna_shelter_imm","governorate",NA,"Diyala",0.225535105498085,NA,0.187919983091199,0.26315022790497
"Erbil","mcna_shelter_imm","governorate",NA,"Erbil",0.0322101955307263,NA,0.0131166789466379,0.0513037121148146
"Kerbala","mcna_shelter_imm","governorate",NA,"Kerbala",0.422222222222222,NA,0.338900281447789,0.505544162996655
"Kirkuk","mcna_shelter_imm","governorate",NA,"Kirkuk",0.511871686921543,NA,0.457300952116896,0.56644242172619
"Missan","mcna_shelter_imm","governorate",NA,"Missan",0.0246913580246914,NA,-0.00910549911192719,0.0584882151613099
"Najaf","mcna_shelter_imm","governorate",NA,"Najaf",0.713178294573643,NA,0.635126029461105,0.791230559686182
"Ninewa","mcna_shelter_imm","governorate",NA,"Ninewa",0.291492069152773,NA,0.258643428300736,0.32434071000481
"Qadissiya","mcna_shelter_imm","governorate",NA,"Qadissiya",0,NA,0,0
"Salah al-Din","mcna_shelter_imm","governorate",NA,"Salah al-Din",0.543179549413768,NA,0.50523958541866,0.581119513408876
"Sulaymaniyah","mcna_shelter_imm","governorate",NA,"Sulaymaniyah",0.0940562926604801,NA,0.0570032047484811,0.131109380572479
"Thi-Qar","mcna_shelter_imm","governorate",NA,"Thi-Qar",0.234567901234568,NA,0.142285174659075,0.32685062781006
"Wassit","mcna_shelter_imm","governorate",NA,"Wassit",0.0134228187919463,NA,-0.00505580243111252,0.0319014400150051
