a4Pcode,strata,samples,population,strata_sample,strata_population,cluster_weight,strata_weight,final_weight,final_weight_normalized
UKR4424881001,20KM_Rural,13,1460,265,89421,0.332824934,0.322480187,0.107329447,2.574986141
UKR1421587601,20KM_Rural,12,1790,265,89421,0.442056862,0.322480187,0.14255458,3.420087186
UKR1422783201,20KM_Rural,12,1269,265,89421,0.31339115,0.322480187,0.101062437,2.424631642
UKR1423385001,20KM_Rural,12,2171,265,89421,0.536148295,0.322480187,0.172897202,4.148049877
UKR1420982001,20KM_Rural,8,1121,265,89421,0.415261795,0.322480187,0.133913701,3.212780225
UKR1420984501,20KM_Rural,8,826,265,89421,0.305982376,0.322480187,0.098673254,2.367311745
UKR1420985501,20KM_Rural,8,1732,265,89421,0.641599848,0.322480187,0.206903239,4.963903077
UKR1421587201,20KM_Rural,8,1390,265,89421,0.514909809,0.322480187,0.166048211,3.983732839
UKR1421589203,20KM_Rural,8,1050,265,89421,0.388960647,0.322480187,0.125432102,3.009294591
UKR1421781601,20KM_Rural,8,2254,265,89421,0.834968855,0.322480187,0.269260913,6.459952388
UKR1422480501,20KM_Rural,8,817,265,89421,0.302648427,0.322480187,0.097598121,2.341517791
UKR1422480503,20KM_Rural,8,811,265,89421,0.300425795,0.322480187,0.096881366,2.324321822
UKR4423181201,20KM_Rural,8,1549,265,89421,0.573809564,0.322480187,0.185042215,4.43942602
UKR4423857505,20KM_Rural,8,121,265,89421,0.044823084,0.322480187,0.014454557,0.346785377
UKR1411246503,20KM_Rural,5,115,265,89421,0.068160723,0.322480187,0.021980483,0.527343052
UKR4424884504,20KM_Rural,5,534,265,89421,0.316502835,0.322480187,0.102065893,2.448705998
UKR1411246505,20KM_Rural,4,649,265,89421,0.480829447,0.322480187,0.15505797,3.720061313
UKR1420955401,20KM_Rural,4,335,265,89421,0.248193937,0.322480187,0.080037627,1.920216548
UKR1420980501,20KM_Rural,4,1269,265,89421,0.940173449,0.322480187,0.30318731,7.273894925
