"","district","yes_no_host"
"795","afgooye","no"
"2232","afgooye","yes"
"55","baardheere","yes"
"9636","baardheere","no"
"26","baidoa","yes"
"31","baidoa","no"
"6","balcad","yes"
"10086","balcad","no"
"1919","bandarbayla","yes"
"1927","bandarbayla","no"
"9005","baraawe","no"
"1768","belet_weyne","yes"
"2896","belet_weyne","no"
"1","belet_xaawo","yes"
"5","belet_xaawo","no"
"3689","berbera","no"
"3732","berbera","yes"
"2038","borama","no"
"2347","borama","yes"
"1193","bossaso","no"
"1326","bossaso","yes"
"1847","burco","yes"
"1932","burco","no"
"5059","burtinle","yes"
"5560","burtinle","no"
"372","buur_hakaba","yes"
"403","buur_hakaba","no"
"4941","cabudwaaq","no"
"4942","cabudwaaq","yes"
"4560","cadaado","yes"
"4563","cadaado","no"
"10610","cadale","yes"
"10672","cadale","no"
"2922","caynabo","yes"
"2976","caynabo","no"
"8610","ceel_afweyn","yes"
"8622","ceel_afweyn","no"
"546","ceel_barde","no"
"550","ceel_barde","yes"
"4001","ceel_buur","no"
"3951","ceel_dheer","no"
"9662","ceel_waaq","yes"
"3852","ceerigaabo","yes"
"7980","ceerigaabo","no"
"900","dhuusamarreeb","yes"
"3920","dhuusamarreeb","no"
"9675","diinsoor","no"
"8437","doolow","yes"
"8440","doolow","no"
"3239","eyl","yes"
"6593","eyl","no"
"2085","gaalkacyo","yes"
"2118","gaalkacyo","no"
"4686","garowe","no"
"4900","garowe","yes"
"50","gebiley","yes"
"2363","gebiley","no"
"1530","hargeysa","yes"
"1556","hargeysa","no"
"8255","hobyo","no"
"8257","hobyo","yes"
"2117","jariiban","yes"
"3102","jariiban","no"
"16","jowhar","yes"
"10806","jowhar","no"
"294","kismayo","yes"
"315","kismayo","no"
"685","kurtunwaarey","no"
"1554","laasqoray","yes"
"2053","laasqoray","no"
"4252","lughaye","yes"
"4263","lughaye","no"
"10179","luuq","yes"
"10187","luuq","no"
"2352","marka","yes"
"2411","marka","no"
"603","mogadishu","no"
"782","mogadishu","yes"
"460","mogadishu_daynile","no"
"471","mogadishu_daynile","yes"
"585","mogadishu_dharkenley","no"
"595","mogadishu_dharkenley","yes"
"459","mogadishu_hodan","no"
"476","mogadishu_hodan","yes"
"138","qansax_dheere","no"
"4121","qansax_dheere","yes"
"1132","qardho","no"
"1133","qardho","yes"
"796","qoryooley","yes"
"2304","qoryooley","no"
"548","rab_dhuure","no"
"2027","rab_dhuure","yes"
"58","waajid","no"
"64","waajid","yes"
"2269","wanla_weyn","yes"
"2336","wanla_weyn","no"
"547","xudur","no"
"6690","xudur","yes"
"5013","zeylac","yes"
"5229","zeylac","no"
